Rk,Team,Overall,Home,Road
21,Washington Wizards,37-45,23-18,14-27
22,Atlanta Hawks,35-47,26-15,Sep-32
23,Chicago Bulls,30-52,27-14,Mar-38
24,Memphis Grizzlies,28-54,20-21,Aug-33
25,Los Angeles Clippers,27-55,16-25,30-Nov
26,Miami Heat,25-57,16-25,Sep-32
27,Toronto Raptors,24-58,15-26,Sep-32
28,Cleveland Cavaliers,17-65,14-27,Mar-38
29,Denver Nuggets,17-65,13-28,Apr-37
1,Sacramento Kings,61-21,36-5,25-16
2,Los Angeles Lakers,58-24,34-7,24-17
3,San Antonio Spurs,58-24,32-9,26-15
4,Dallas Mavericks,57-25,30-11,27-14
5,New Jersey Nets,52-30,33-8,19-22
6,Detroit Pistons,50-32,26-15,24-17
7,Minnesota Timberwolves,50-32,29-12,21-20
8,Boston Celtics,49-33,27-14,22-19
9,Portland Trail Blazers,49-33,30-11,19-22
10,Seattle SuperSonics,45-37,26-15,19-22
11,Charlotte Hornets,44-38,21-20,23-18
12,Orlando Magic,44-38,27-14,17-24
13,Utah Jazz,44-38,25-16,19-22
14,Philadelphia 76ers,43-39,22-19,21-20
15,Indiana Pacers,42-40,25-16,17-24
16,Toronto Raptors,42-40,24-17,18-23
17,Milwaukee Bucks,41-41,25-16,16-25
18,Los Angeles Clippers,39-43,25-16,14-27
19,Washington Wizards,37-45,22-19,15-26
20,Miami Heat,36-46,18-23,18-23
21,Phoenix Suns,36-46,23-18,13-28
22,Atlanta Hawks,33-49,23-18,31-Oct
23,New York Knicks,30-52,19-22,30-Nov
24,Cleveland Cavaliers,29-53,20-21,Sep-32
25,Houston Rockets,28-54,18-23,31-Oct
26,Denver Nuggets,27-55,20-21,Jul-34
27,Memphis Grizzlies,23-59,15-26,Aug-33
28,Chicago Bulls,21-61,14-27,Jul-34
29,Golden State Warriors,21-61,14-27,Jul-34
1,San Antonio Spurs,58-24,33-8,25-16
2,Los Angeles Lakers,56-26,31-10,25-16
3,Philadelphia 76ers,56-26,29-12,27-14
4,Sacramento Kings,55-27,33-8,22-19
5,Dallas Mavericks,53-29,28-13,25-16
6,Utah Jazz,53-29,28-13,25-16
7,Milwaukee Bucks,52-30,31-10,21-20
8,Phoenix Suns,51-31,31-10,20-21
9,Miami Heat,50-32,29-12,21-20
10,Portland Trail Blazers,50-32,28-13,22-19
11,New York Knicks,48-34,30-11,18-23
12,Minnesota Timberwolves,47-35,30-11,17-24
13,Toronto Raptors,47-35,27-14,20-21
14,Charlotte Hornets,46-36,28-13,18-23
15,Houston Rockets,45-37,24-17,21-20
16,Seattle SuperSonics,44-38,26-15,18-23
17,Orlando Magic,43-39,26-15,17-24
18,Indiana Pacers,41-41,26-15,15-26
19,Denver Nuggets,40-42,29-12,30-Nov
20,Boston Celtics,36-46,20-21,16-25
21,Detroit Pistons,32-50,18-23,14-27
22,Los Angeles Clippers,31-51,22-19,Sep-32
23,Cleveland Cavaliers,30-52,20-21,31-Oct
24,New Jersey Nets,26-56,18-23,Aug-33
25,Atlanta Hawks,25-57,18-23,Jul-34
26,Vancouver Grizzlies,23-59,15-26,Aug-33
27,Washington Wizards,19-63,29-Dec,Jul-34
28,Golden State Warriors,17-65,30-Nov,Jun-35
29,Chicago Bulls,15-67,31-Oct,May-36
1,Los Angeles Lakers,67-15,36-5,31-10
2,Portland Trail Blazers,59-23,30-11,29-12
3,Indiana Pacers,56-26,36-5,20-21
4,Utah Jazz,55-27,31-10,24-17
5,Phoenix Suns,53-29,32-9,21-20
6,San Antonio Spurs,53-29,31-10,22-19
7,Miami Heat,52-30,33-8,19-22
8,Minnesota Timberwolves,50-32,26-15,24-17
9,New York Knicks,50-32,33-8,17-24
10,Charlotte Hornets,49-33,30-11,19-22
11,Philadelphia 76ers,49-33,29-12,20-21
12,Seattle SuperSonics,45-37,24-17,21-20
13,Toronto Raptors,45-37,26-15,19-22
14,Sacramento Kings,44-38,30-11,14-27
15,Detroit Pistons,42-40,27-14,15-26
16,Milwaukee Bucks,42-40,23-18,19-22
17,Orlando Magic,41-41,26-15,15-26
18,Dallas Mavericks,40-42,22-19,18-23
19,Boston Celtics,35-47,26-15,Sep-32
20,Denver Nuggets,35-47,25-16,31-Oct
21,Houston Rockets,34-48,22-19,29-Dec
22,Cleveland Cavaliers,32-50,22-19,31-Oct
23,New Jersey Nets,31-51,22-19,Sep-32
24,Washington Wizards,29-53,17-24,29-Dec
25,Atlanta Hawks,28-54,21-20,Jul-34
26,Vancouver Grizzlies,22-60,29-Dec,31-Oct
27,Golden State Warriors,19-63,29-Dec,Jul-34
28,Chicago Bulls,17-65,29-Dec,May-36
29,Los Angeles Clippers,15-67,31-Oct,May-36
