,Index,Team,Season,Date,Against,Score,Type,PS,WPS,Diff,W,Bias,Home,Away,FWStreak,UWStreak,ranking
33987,Milwaukee_04/02/96,Detroit,1995.0,4/2/96,@ Milwaukee,98-105,Regular Season,-5.5,0.0,-7.0,0.0,-12.5,Milwaukee,Detroit,3.0,0.0,
33988,Milwaukee_04/03/02,Milwaukee,2001.0,4/3/02,Washington,105-90,Regular Season,-4.5,1.0,15.0,1.0,10.5,Milwaukee,Washington,2.0,2.0,
33989,Milwaukee_04/03/05,Milwaukee,2004.0,4/3/05,New York,        106-102,Regular Season,-3.0,1.0,4.0,1.0,1.0,Milwaukee,New York,3.0,3.0,23.0
33992,Milwaukee_04/03/07,New Orleans,2006.0,4/3/07,@ Milwaukee,        119-101,Regular Season,-1.5,1.0,18.0,1.0,16.5,Milwaukee,New Orleans,3.0,4.0,16.0
33995,Milwaukee_04/03/10,Milwaukee,2009.0,4/3/10,Phoenix,        107-98,Regular Season,-2.0,1.0,9.0,1.0,7.0,Milwaukee,Phoenix,0.0,3.0,6.0
33998,Milwaukee_04/03/13,Milwaukee,2012.0,4/3/13,Minnesota,        98-107,Regular Season,-4.5,0.0,-9.0,0.0,-13.5,Milwaukee,Minnesota,1.0,0.0,19.0
34001,Milwaukee_04/04/00,Milwaukee,1999.0,4/4/00,Chicago,92-73,Regular Season,-11.0,1.0,19.0,1.0,8.0,Milwaukee,Chicago,0.0,0.0,
34002,Milwaukee_04/04/03,Milwaukee,2002.0,4/4/03,Cleveland,95-93,Regular Season,-12.0,0.0,2.0,1.0,-10.0,Milwaukee,Cleveland,2.0,0.0,19.0
34005,Milwaukee_04/04/07,Milwaukee,2006.0,4/4/07,Boston,        98-89,Regular Season,-4.5,1.0,9.0,1.0,4.5,Milwaukee,Boston,0.0,1.0,27.0
34008,Milwaukee_04/04/08,Indiana,2007.0,4/4/08,@ Milwaukee,        105-101,Regular Season,-3.0,1.0,4.0,1.0,1.0,Milwaukee,Indiana,0.0,1.0,20.0
34011,Milwaukee_04/04/09,Milwaukee,2008.0,4/4/09,Memphis,        102-107,Regular Season,-7.5,0.0,-5.0,0.0,-12.5,Milwaukee,Memphis,0.0,0.0,19.0
34014,Milwaukee_04/04/12,Milwaukee,2011.0,4/4/12,Cleveland,        107-98,Regular Season,-12.5,0.0,9.0,1.0,-3.5,Milwaukee,Cleveland,0.0,0.0,20.0
34017,Milwaukee_04/04/91,Milwaukee,1990.0,4/4/91,San Antonio,101-105,Regular Season,-1.5,0.0,-4.0,0.0,-5.5,Milwaukee,San Antonio,0.0,0.0,
34018,Milwaukee_04/05/14,Toronto,2013.0,4/5/14,@ Milwaukee,        102-98,Regular Season,-6.5,0.0,4.0,1.0,-2.5,Milwaukee,Toronto,1.0,0.0,12.0
34021,Milwaukee_04/05/92,L.A. Clippers,1991.0,4/5/92,@ Milwaukee,97-96,Regular Season,-3.0,0.0,1.0,1.0,-2.0,Milwaukee,L.A. Clippers,3.0,0.0,
34022,Milwaukee_04/05/95,New York,1994.0,4/5/95,@ Milwaukee,114-94,Regular Season,-6.0,1.0,20.0,1.0,14.0,Milwaukee,New York,0.0,0.0,
34023,Milwaukee_04/05/96,New York,1995.0,4/5/96,@ Milwaukee,86-79,Regular Season,-7.0,0.0,7.0,1.0,0.0,Milwaukee,New York,1.0,0.0,
34024,Milwaukee_04/06/12,Milwaukee,2011.0,4/6/12,Charlotte,        95-90,Regular Season,-13.0,0.0,5.0,1.0,-8.0,Milwaukee,Charlotte,2.0,0.0,20.0
34027,Milwaukee_04/06/13,Milwaukee,2012.0,4/6/13,Toronto,        100-83,Regular Season,-6.0,1.0,17.0,1.0,11.0,Milwaukee,Toronto,3.0,0.0,19.0
34030,Milwaukee_04/06/91,Milwaukee,1990.0,4/6/91,Brooklyn,133-114,Regular Season,-11.0,1.0,19.0,1.0,8.0,Milwaukee,Brooklyn,4.0,2.0,
34031,Milwaukee_04/06/93,Chicago,1992.0,4/6/93,@ Milwaukee,109-113,Regular Season,-9.0,0.0,-4.0,0.0,-13.0,Milwaukee,Chicago,0.0,5.0,
34032,Milwaukee_04/07/04,Milwaukee,2003.0,4/7/04,Washington,        116-107,Regular Season,-9.5,0.0,9.0,1.0,-0.5,Milwaukee,Washington,0.0,0.0,17.0
34035,Milwaukee_04/07/07,New York,2006.0,4/7/07,@ Milwaukee,        118-113,Regular Season,-1.5,1.0,5.0,1.0,3.5,Milwaukee,New York,1.0,0.0,20.0
34038,Milwaukee_04/07/10,Milwaukee,2009.0,4/7/10,Brooklyn,        108-89,Regular Season,-7.5,1.0,19.0,1.0,11.5,Milwaukee,Brooklyn,0.0,2.0,12.0
34041,Milwaukee_04/07/12,Milwaukee,2011.0,4/7/12,Portland,        116-94,Regular Season,-4.5,1.0,22.0,1.0,17.5,Milwaukee,Portland,1.0,3.0,20.0
34044,Milwaukee_04/07/95,Milwaukee,1994.0,4/7/95,Brooklyn,107-92,Regular Season,-5.0,1.0,15.0,1.0,10.0,Milwaukee,Brooklyn,0.0,1.0,
34045,Milwaukee_04/07/98,Milwaukee,1997.0,4/7/98,Toronto,114-105,Regular Season,-9.0,0.0,9.0,1.0,0.0,Milwaukee,Toronto,1.0,0.0,
34046,Milwaukee_04/07/99,Milwaukee,1998.0,4/7/99,Cleveland,99-91,Regular Season,-4.5,1.0,8.0,1.0,3.5,Milwaukee,Cleveland,2.0,0.0,
34047,Milwaukee_04/08/00,Milwaukee,1999.0,4/8/00,Brooklyn,109-101,Regular Season,-9.5,0.0,8.0,1.0,-1.5,Milwaukee,Brooklyn,3.0,0.0,
34048,Milwaukee_04/08/05,Milwaukee,2004.0,4/8/05,Charlotte,        93-75,Regular Season,-7.0,1.0,18.0,1.0,11.0,Milwaukee,Charlotte,0.0,0.0,26.0
34051,Milwaukee_04/08/08,Boston,2007.0,4/8/08,@ Milwaukee,        107-104,Regular Season,-9.5,0.0,3.0,1.0,-6.5,Milwaukee,Boston,0.0,1.0,1.0
34054,Milwaukee_04/08/09,Atlanta,2008.0,4/8/09,@ Milwaukee,        113-105,Regular Season,-1.0,1.0,8.0,1.0,7.0,Milwaukee,Atlanta,0.0,0.0,10.0
34062,Milwaukee_04/08/92,Indiana,1991.0,4/8/92,@ Milwaukee,122-107,Regular Season,-3.0,1.0,15.0,1.0,12.0,Milwaukee,Indiana,4.0,0.0,
34063,Milwaukee_04/08/93,Miami,1992.0,4/8/93,@ Milwaukee,117-92,Regular Season,-1.5,1.0,25.0,1.0,23.5,Milwaukee,Miami,0.0,0.0,
34064,Milwaukee_04/08/97,Orlando,1996.0,4/8/97,@ Milwaukee,97-82,Regular Season,-3.5,1.0,15.0,1.0,11.5,Milwaukee,Orlando,0.0,0.0,
34065,Milwaukee_04/09/02,Milwaukee,2001.0,4/9/02,Philadelphia,90-92,Regular Season,-6.5,0.0,-2.0,0.0,-8.5,Milwaukee,Philadelphia,1.0,1.0,
34066,Milwaukee_04/09/03,Milwaukee,2002.0,4/9/03,L.A. Clippers,112-92,Regular Season,-8.0,1.0,20.0,1.0,12.0,Milwaukee,L.A. Clippers,0.0,1.0,17.0
34069,Milwaukee_04/09/06,Milwaukee,2005.0,4/9/06,Brooklyn,        83-95,Regular Season,-1.0,0.0,-12.0,0.0,-13.0,Milwaukee,Brooklyn,0.0,1.0,15.0
34072,Milwaukee_04/09/07,Orlando,2006.0,4/9/07,@ Milwaukee,        117-94,Regular Season,-6.0,1.0,23.0,1.0,17.0,Milwaukee,Orlando,7.0,0.0,16.0
34075,Milwaukee_04/09/11,Milwaukee,2010.0,4/9/11,Cleveland,        108-101,Regular Season,-9.0,0.0,7.0,1.0,-2.0,Milwaukee,Cleveland,1.0,0.0,20.0
34078,Milwaukee_04/09/12,Oklahoma City,2011.0,4/9/12,@ Milwaukee,        109-89,Regular Season,-3.0,1.0,20.0,1.0,17.0,Milwaukee,Oklahoma City,1.0,2.0,2.0
34081,Milwaukee_04/09/14,Indiana,2013.0,4/9/14,@ Milwaukee,        104-102,Regular Season,-1.0,1.0,2.0,1.0,1.0,Milwaukee,Indiana,3.0,0.0,6.0
34084,Milwaukee_04/09/91,Milwaukee,1990.0,4/9/91,Detroit,105-95,Regular Season,-2.0,1.0,10.0,1.0,8.0,Milwaukee,Detroit,0.0,0.0,
34085,Milwaukee_04/09/95,Atlanta,1994.0,4/9/95,@ Milwaukee,99-102,Regular Season,-4.5,0.0,-3.0,0.0,-7.5,Milwaukee,Atlanta,1.0,0.0,
34086,Milwaukee_04/09/96,Milwaukee,1995.0,4/9/96,Toronto,96-102,Regular Season,-10.0,0.0,-6.0,0.0,-16.0,Milwaukee,Toronto,1.0,2.0,
34087,Milwaukee_04/10/00,Milwaukee,1999.0,4/10/00,Orlando,104-87,Regular Season,-5.0,1.0,17.0,1.0,12.0,Milwaukee,Orlando,3.0,0.0,
34088,Milwaukee_04/10/01,Milwaukee,2000.0,4/10/01,Chicago,105-84,Regular Season,-12.0,1.0,21.0,1.0,9.0,Milwaukee,Chicago,4.0,0.0,
34089,Milwaukee_04/10/04,Milwaukee,2003.0,4/10/04,New Orleans,        87-91,Regular Season,-10.5,0.0,-4.0,0.0,-14.5,Milwaukee,New Orleans,0.0,0.0,17.0
34092,Milwaukee_04/10/10,Milwaukee,2009.0,4/10/10,Boston,        90-105,Regular Season,-2.0,0.0,-15.0,0.0,-17.0,Milwaukee,Boston,0.0,1.0,12.0
34095,Milwaukee_04/10/93,Orlando,1992.0,4/10/93,@ Milwaukee,98-107,Regular Season,-1.5,0.0,-9.0,0.0,-10.5,Milwaukee,Orlando,1.0,0.0,
34096,Milwaukee_04/11/07,Indiana,2006.0,4/11/07,@ Milwaukee,        104-98,Regular Season,-4.5,1.0,6.0,1.0,1.5,Milwaukee,Indiana,1.0,0.0,19.0
34099,Milwaukee_04/11/09,Milwaukee,2008.0,4/11/09,Oklahoma City,        115-98,Regular Season,-6.5,1.0,17.0,1.0,10.5,Milwaukee,Oklahoma City,0.0,0.0,20.0
34102,Milwaukee_04/11/11,Milwaukee,2010.0,4/11/11,Toronto,        93-86,Regular Season,-9.5,0.0,7.0,1.0,-2.5,Milwaukee,Toronto,1.0,0.0,21.0
34105,Milwaukee_04/11/12,Milwaukee,2011.0,4/11/12,New York,        107-111,Regular Season,-4.5,0.0,-4.0,0.0,-8.5,Milwaukee,New York,2.0,0.0,18.0
34108,Milwaukee_04/11/14,Cleveland,2013.0,4/11/14,@ Milwaukee,        116-119,Regular Season,-4.5,0.0,-3.0,0.0,-7.5,Milwaukee,Cleveland,0.0,0.0,18.0
34111,Milwaukee_04/11/91,Milwaukee,1990.0,4/11/91,Boston,111-92,Regular Season,-2.0,1.0,19.0,1.0,17.0,Milwaukee,Boston,1.0,2.0,
34112,Milwaukee_04/11/95,Milwaukee,1994.0,4/11/95,Detroit,114-109,Regular Season,-5.0,0.0,5.0,1.0,0.0,Milwaukee,Detroit,2.0,1.0,
34113,Milwaukee_04/11/97,Milwaukee,1996.0,4/11/97,Philadelphia,126-118,Regular Season,-5.5,1.0,8.0,1.0,2.5,Milwaukee,Philadelphia,0.0,0.0,
34114,Milwaukee_04/11/98,Brooklyn,1997.0,4/11/98,@ Milwaukee,124-117,Regular Season,-3.0,1.0,7.0,1.0,4.0,Milwaukee,Brooklyn,0.0,1.0,
34115,Milwaukee_04/12/01,Utah,2000.0,4/12/01,@ Milwaukee,93-115,Regular Season,-2.5,0.0,-22.0,0.0,-24.5,Milwaukee,Utah,2.0,1.0,
34116,Milwaukee_04/12/06,Milwaukee,2005.0,4/12/06,Washington,        100-97,Regular Season,-3.5,0.0,3.0,1.0,-0.5,Milwaukee,Washington,0.0,0.0,13.0
34119,Milwaukee_04/12/08,Milwaukee,2007.0,4/12/08,Brooklyn,        98-111,Regular Season,-1.0,0.0,-13.0,0.0,-14.0,Milwaukee,Brooklyn,1.0,0.0,27.0
34122,Milwaukee_04/12/10,Atlanta,2009.0,4/12/10,@ Milwaukee,        104-96,Regular Season,-1.5,1.0,8.0,1.0,6.5,Milwaukee,Atlanta,0.0,0.0,8.0
34130,Milwaukee_04/13/03,Indiana,2002.0,4/13/03,@ Milwaukee,98-107,Regular Season,-1.0,0.0,-9.0,0.0,-10.0,Milwaukee,Indiana,5.0,0.0,13.0
34133,Milwaukee_04/13/05,Boston,2004.0,4/13/05,@ Milwaukee,        111-108,Regular Season,-1.5,1.0,3.0,1.0,1.5,Milwaukee,Boston,1.0,1.0,15.0
34136,Milwaukee_04/13/09,Milwaukee,2008.0,4/13/09,Orlando,        98-80,Regular Season,-6.5,1.0,18.0,1.0,11.5,Milwaukee,Orlando,1.0,2.0,23.0
34139,Milwaukee_04/13/94,Brooklyn,1993.0,4/13/94,@ Milwaukee,107-105,Regular Season,-6.0,0.0,2.0,1.0,-4.0,Milwaukee,Brooklyn,1.0,0.0,
34140,Milwaukee_04/13/97,Milwaukee,1996.0,4/13/97,Brooklyn,132-123,Regular Season,-5.5,1.0,9.0,1.0,3.5,Milwaukee,Brooklyn,0.0,0.0,
34141,Milwaukee_04/13/99,Milwaukee,1998.0,4/13/99,Atlanta,91-84,Regular Season,-5.0,1.0,7.0,1.0,2.0,Milwaukee,Atlanta,1.0,1.0,
34142,Milwaukee_04/14/00,Milwaukee,1999.0,4/14/00,New Orleans,106-109,Regular Season,-3.5,0.0,-3.0,0.0,-6.5,Milwaukee,New Orleans,2.0,1.0,
34143,Milwaukee_04/14/01,Milwaukee,2000.0,4/14/01,Toronto,112-86,Regular Season,-5.0,1.0,26.0,1.0,21.0,Milwaukee,Toronto,0.0,3.0,
34144,Milwaukee_04/14/02,Milwaukee,2001.0,4/14/02,New Orleans,98-91,Regular Season,-5.0,1.0,7.0,1.0,2.0,Milwaukee,New Orleans,1.0,2.0,
34145,Milwaukee_04/14/04,Milwaukee,2003.0,4/14/04,Toronto,        87-89,Regular Season,-10.0,0.0,-2.0,0.0,-12.0,Milwaukee,Toronto,2.0,1.0,15.0
34148,Milwaukee_04/14/07,Charlotte,2006.0,4/14/07,@ Milwaukee,        113-92,Regular Season,-4.0,1.0,21.0,1.0,17.0,Milwaukee,Charlotte,2.0,1.0,26.0
34151,Milwaukee_04/14/08,Chicago,2007.0,4/14/08,@ Milwaukee,        151-135,Regular Season,-1.0,1.0,16.0,1.0,15.0,Milwaukee,Chicago,1.0,0.0,22.0
34154,Milwaukee_04/14/12,Milwaukee,2011.0,4/14/12,Indiana,        99-105,Regular Season,-3.5,0.0,-6.0,0.0,-9.5,Milwaukee,Indiana,1.0,0.0,18.0
34157,Milwaukee_04/14/92,Detroit,1991.0,4/14/92,@ Milwaukee,98-94,Regular Season,-5.5,0.0,4.0,1.0,-1.5,Milwaukee,Detroit,0.0,0.0,
34158,Milwaukee_04/14/96,Orlando,1995.0,4/14/96,@ Milwaukee,101-114,Regular Season,,,-13.0,0.0,,Milwaukee,Orlando,0.0,0.0,
34159,Milwaukee_04/14/98,New Orleans,1997.0,4/14/98,@ Milwaukee,104-82,Regular Season,-4.0,1.0,22.0,1.0,18.0,Milwaukee,New Orleans,4.0,1.0,
34160,Milwaukee_04/14/99,Miami,1998.0,4/14/99,@ Milwaukee,86-98,Regular Season,-1.0,0.0,-12.0,0.0,-13.0,Milwaukee,Miami,0.0,0.0,
34161,Milwaukee_04/15/06,Milwaukee,2005.0,4/15/06,Atlanta,        114-120,Regular Season,-10.0,0.0,-6.0,0.0,-16.0,Milwaukee,Atlanta,0.0,3.0,13.0
34164,Milwaukee_04/15/13,Denver,2012.0,4/15/13,@ Milwaukee,        112-111,Regular Season,-5.5,0.0,1.0,1.0,-4.5,Milwaukee,Denver,1.0,0.0,4.0
34167,Milwaukee_04/15/93,Cleveland,1992.0,4/15/93,@ Milwaukee,108-93,Regular Season,-6.0,1.0,15.0,1.0,9.0,Milwaukee,Cleveland,0.0,0.0,
34168,Milwaukee_04/15/94,Atlanta,1993.0,4/15/94,@ Milwaukee,105-96,Regular Season,-7.0,1.0,9.0,1.0,2.0,Milwaukee,Atlanta,1.0,0.0,
34169,Milwaukee_04/15/97,Milwaukee,1996.0,4/15/97,Toronto,92-85,Regular Season,,,7.0,1.0,,Milwaukee,Toronto,0.0,0.0,
34170,Milwaukee_04/16/02,Milwaukee,2001.0,4/16/02,Toronto,105-89,Regular Season,-4.5,1.0,16.0,1.0,11.5,Milwaukee,Toronto,3.0,1.0,
34171,Milwaukee_04/16/03,Milwaukee,2002.0,4/16/03,Orlando,93-87,Regular Season,-8.0,0.0,6.0,1.0,-2.0,Milwaukee,Orlando,4.0,1.0,19.0
34174,Milwaukee_04/16/05,Milwaukee,2004.0,4/16/05,Orlando,        113-103,Regular Season,-6.5,1.0,10.0,1.0,3.5,Milwaukee,Orlando,5.0,0.0,26.0
34177,Milwaukee_04/16/07,Milwaukee,2006.0,4/16/07,Atlanta,        102-96,Regular Season,-6.0,0.0,6.0,1.0,0.0,Milwaukee,Atlanta,6.0,0.0,28.0
34180,Milwaukee_04/16/14,Milwaukee,2013.0,4/16/14,Atlanta,        103-111,Regular Season,-3.0,0.0,-8.0,0.0,-11.0,Milwaukee,Atlanta,0.0,0.0,30.0
34183,Milwaukee_04/16/94,Cleveland,1993.0,4/16/94,@ Milwaukee,91-90,Regular Season,-5.0,0.0,1.0,1.0,-4.0,Milwaukee,Cleveland,2.0,0.0,
34184,Milwaukee_04/16/96,Chicago,1995.0,4/16/96,@ Milwaukee,86-80,Regular Season,-14.5,0.0,6.0,1.0,-8.5,Milwaukee,Chicago,2.0,0.0,
34185,Milwaukee_04/16/99,Milwaukee,1998.0,4/16/99,New Orleans,94-95,Regular Season,-4.5,0.0,-1.0,0.0,-5.5,Milwaukee,New Orleans,0.0,1.0,
34186,Milwaukee_04/17/06,Milwaukee,2005.0,4/17/06,Detroit,        113-93,Regular Season,-6.0,1.0,20.0,1.0,14.0,Milwaukee,Detroit,0.0,2.0,16.0
34189,Milwaukee_04/18/92,New York,1991.0,4/18/92,@ Milwaukee,114-103,Regular Season,-6.5,1.0,11.0,1.0,4.5,Milwaukee,New York,4.0,0.0,
34190,Milwaukee_04/18/93,Indiana,1992.0,4/18/93,@ Milwaukee,108-98,Regular Season,-5.0,1.0,10.0,1.0,5.0,Milwaukee,Indiana,0.0,0.0,
34191,Milwaukee_04/18/98,Milwaukee,1997.0,4/18/98,Minnesota,109-111,Regular Season,-3.5,0.0,-2.0,0.0,-5.5,Milwaukee,Minnesota,0.0,1.0,
34192,Milwaukee_04/19/00,Milwaukee,1999.0,4/19/00,Washington,110-105,Regular Season,-4.0,1.0,5.0,1.0,1.0,Milwaukee,Washington,0.0,0.0,
34193,Milwaukee_04/19/05,Milwaukee,2004.0,4/19/05,Toronto,        109-127,Regular Season,-2.0,0.0,-18.0,0.0,-20.0,Milwaukee,Toronto,0.0,0.0,25.0
34196,Milwaukee_04/19/95,Milwaukee,1994.0,4/19/95,Boston,106-97,Regular Season,-3.0,1.0,9.0,1.0,6.0,Milwaukee,Boston,0.0,2.0,
34197,Milwaukee_04/19/96,Miami,1995.0,4/19/96,@ Milwaukee,106-100,Regular Season,-8.5,0.0,6.0,1.0,-2.5,Milwaukee,Miami,0.0,1.0,
34198,Milwaukee_04/20/91,Milwaukee,1990.0,4/20/91,Indiana,133-100,Regular Season,-5.5,1.0,33.0,1.0,27.5,Milwaukee,Indiana,0.0,5.0,
34199,Milwaukee_04/20/94,Milwaukee,1993.0,4/20/94,Detroit,103-78,Regular Season,-6.0,1.0,25.0,1.0,19.0,Milwaukee,Detroit,1.0,0.0,
34200,Milwaukee_04/20/97,Milwaukee,1996.0,4/20/97,New Orleans,120-100,Regular Season,,,20.0,1.0,,Milwaukee,New Orleans,2.0,0.0,
34201,Milwaukee_04/20/99,Milwaukee,1998.0,4/20/99,Orlando,95-83,Regular Season,-4.0,1.0,12.0,1.0,8.0,Milwaukee,Orlando,3.0,3.0,
34202,Milwaukee_04/21/12,Milwaukee,2011.0,4/21/12,Brooklyn,        106-95,Regular Season,-9.5,1.0,11.0,1.0,1.5,Milwaukee,Brooklyn,5.0,2.0,17.0
34205,Milwaukee_04/22/01,Milwaukee,2000.0,4/22/01,Orlando,103-90,Conference Quarterfinals,-7.0,1.0,13.0,1.0,6.0,Milwaukee,Orlando,0.0,2.0,
34206,Milwaukee_04/22/94,New York,1993.0,4/22/94,@ Milwaukee,125-85,Regular Season,-7.5,1.0,40.0,1.0,32.5,Milwaukee,New York,1.0,2.0,
34207,Milwaukee_04/23/12,Milwaukee,2011.0,4/23/12,Toronto,        92-86,Regular Season,-10.0,0.0,6.0,1.0,-4.0,Milwaukee,Toronto,0.0,0.0,19.0
34210,Milwaukee_04/23/95,Chicago,1994.0,4/23/95,@ Milwaukee,100-106,Regular Season,-3.5,0.0,-6.0,0.0,-9.5,Milwaukee,Chicago,0.0,0.0,
34211,Milwaukee_04/23/99,Milwaukee,1998.0,4/23/99,Cleveland,79-75,Regular Season,-8.0,0.0,4.0,1.0,-4.0,Milwaukee,Cleveland,1.0,0.0,
34212,Milwaukee_04/24/03,Milwaukee,2002.0,4/24/03,Brooklyn,101-103,Conference Quarterfinals,-1.0,0.0,-2.0,0.0,-3.0,Milwaukee,Brooklyn,2.0,2.0,19.0
34215,Milwaukee_04/24/04,Detroit,2003.0,4/24/04,@ Milwaukee,        95-85,Conference Quarterfinals,-6.0,1.0,10.0,1.0,4.0,Milwaukee,Detroit,1.0,0.0,3.0
34218,Milwaukee_04/24/10,Milwaukee,2009.0,4/24/10,Atlanta,        107-89,Conference Quarterfinals,-1.0,1.0,18.0,1.0,17.0,Milwaukee,Atlanta,0.0,1.0,15.0
34221,Milwaukee_04/24/93,New Orleans,1992.0,4/24/93,@ Milwaukee,108-106,Regular Season,-4.0,0.0,2.0,1.0,-2.0,Milwaukee,New Orleans,4.0,1.0,
34222,Milwaukee_04/25/01,Milwaukee,2000.0,4/25/01,Orlando,103-96,Conference Quarterfinals,-7.0,0.0,7.0,1.0,0.0,Milwaukee,Orlando,0.0,0.0,
34223,Milwaukee_04/25/12,Milwaukee,2011.0,4/25/12,Philadelphia,        85-90,Regular Season,-7.5,0.0,-5.0,0.0,-12.5,Milwaukee,Philadelphia,1.0,1.0,19.0
34226,Milwaukee_04/25/13,Miami,2012.0,4/25/13,@ Milwaukee,        104-91,Conference Quarterfinals,-7.0,1.0,13.0,1.0,6.0,Milwaukee,Miami,5.0,0.0,1.0
34229,Milwaukee_04/25/91,Milwaukee,1990.0,4/25/91,Philadelphia,90-99,Conference Quarterfinals,-5.5,0.0,-9.0,0.0,-14.5,Milwaukee,Philadelphia,0.0,2.0,
34230,Milwaukee_04/26/03,Milwaukee,2002.0,4/26/03,Brooklyn,119-114,Conference Quarterfinals,-2.5,1.0,5.0,1.0,2.5,Milwaukee,Brooklyn,0.0,2.0,19.0
34233,Milwaukee_04/26/04,Detroit,2003.0,4/26/04,@ Milwaukee,        109-92,Conference Quarterfinals,-6.0,1.0,17.0,1.0,11.0,Milwaukee,Detroit,1.0,1.0,
34235,Milwaukee_04/26/10,Atlanta,2009.0,4/26/10,@ Milwaukee,        104-111,Conference Quarterfinals,-2.0,0.0,-7.0,0.0,-9.0,Milwaukee,Atlanta,2.0,0.0,
34237,Milwaukee_04/26/99,Milwaukee,1998.0,4/26/99,Washington,99-91,Regular Season,-10.0,0.0,8.0,1.0,-2.0,Milwaukee,Washington,0.0,1.0,
34238,Milwaukee_04/27/91,Milwaukee,1990.0,4/27/91,Philadelphia,112-116,Conference Quarterfinals,-5.5,0.0,-4.0,0.0,-9.5,Milwaukee,Philadelphia,2.0,0.0,
34239,Milwaukee_04/28/13,Miami,2012.0,4/28/13,@ Milwaukee,        88-77,Conference Quarterfinals,-9.0,1.0,11.0,1.0,2.0,Milwaukee,Miami,5.0,1.0,1.0
34242,Milwaukee_04/28/99,Milwaukee,1998.0,4/28/99,Toronto,115-102,Regular Season,-6.0,1.0,13.0,1.0,7.0,Milwaukee,Toronto,0.0,0.0,
34243,Milwaukee_04/29/00,Milwaukee,1999.0,4/29/00,Indiana,96-109,Conference Quarterfinals,-2.5,0.0,-13.0,0.0,-15.5,Milwaukee,Indiana,1.0,2.0,
34244,Milwaukee_04/29/06,Detroit,2005.0,4/29/06,@ Milwaukee,        104-124,Conference Quarterfinals,-6.0,0.0,-20.0,0.0,-26.0,Milwaukee,Detroit,0.0,0.0,1.0
34247,Milwaukee_04/30/10,Atlanta,2009.0,4/30/10,@ Milwaukee,        83-69,Conference Quarterfinals,-1.5,1.0,14.0,1.0,12.5,Milwaukee,Atlanta,0.0,1.0,
34249,Milwaukee_04/30/99,Milwaukee,1998.0,4/30/99,Detroit,76-81,Regular Season,-3.0,0.0,-5.0,0.0,-8.0,Milwaukee,Detroit,0.0,0.0,
34250,Milwaukee_05/01/00,Milwaukee,1999.0,5/1/00,Indiana,100-87,Conference Quarterfinals,-1.0,1.0,13.0,1.0,12.0,Milwaukee,Indiana,0.0,0.0,
34251,Milwaukee_05/01/03,Milwaukee,2002.0,5/1/03,Brooklyn,101-113,Conference Quarterfinals,-3.0,0.0,-12.0,0.0,-15.0,Milwaukee,Brooklyn,2.0,1.0,15.0
34254,Milwaukee_05/01/06,Detroit,2005.0,5/1/06,@ Milwaukee,        109-99,Conference Quarterfinals,-6.5,1.0,10.0,1.0,3.5,Milwaukee,Detroit,5.0,0.0,
34256,Milwaukee_05/04/99,Toronto,1998.0,5/4/99,@ Milwaukee,86-99,Regular Season,,,-13.0,0.0,,Milwaukee,Toronto,0.0,0.0,
34257,Milwaukee_05/06/01,Milwaukee,2000.0,5/6/01,New Orleans,104-92,Conference Semifinals,-5.0,1.0,12.0,1.0,7.0,Milwaukee,New Orleans,0.0,3.0,
34258,Milwaukee_05/08/01,Milwaukee,2000.0,5/8/01,New Orleans,91-90,Conference Semifinals,-5.0,0.0,1.0,1.0,-4.0,Milwaukee,New Orleans,1.0,0.0,
34259,Milwaukee_05/13/99,Milwaukee,1998.0,5/13/99,Indiana,91-99,Conference Quarterfinals,-1.0,0.0,-8.0,0.0,-9.0,Milwaukee,Indiana,0.0,2.0,
34260,Milwaukee_05/15/01,Milwaukee,2000.0,5/15/01,New Orleans,86-94,Conference Semifinals,-5.5,0.0,-8.0,0.0,-13.5,Milwaukee,New Orleans,0.0,1.0,
34261,Milwaukee_05/20/01,Milwaukee,2000.0,5/20/01,New Orleans,104-95,Conference Semifinals,-5.0,1.0,9.0,1.0,4.0,Milwaukee,New Orleans,0.0,0.0,
34262,Milwaukee_05/26/01,Milwaukee,2000.0,5/26/01,Philadelphia,80-74,Conference Finals,-8.5,0.0,6.0,1.0,-2.5,Milwaukee,Philadelphia,1.0,0.0,
34263,Milwaukee_05/28/01,Milwaukee,2000.0,5/28/01,Philadelphia,83-89,Conference Finals,-4.5,0.0,-6.0,0.0,-10.5,Milwaukee,Philadelphia,2.0,0.0,
34264,Milwaukee_06/01/01,Milwaukee,2000.0,6/1/01,Philadelphia,110-100,Conference Finals,-5.5,1.0,10.0,1.0,4.5,Milwaukee,Philadelphia,0.0,2.0,
34265,Milwaukee_10/30/10,Milwaukee,2010.0,10/30/10,Charlotte,        98-88,Regular Season,-5.5,1.0,10.0,1.0,4.5,Milwaukee,Charlotte,0.0,1.0,
34267,Milwaukee_10/31/09,Milwaukee,2009.0,10/31/09,Detroit,        96-85,Regular Season,-2.0,1.0,11.0,1.0,9.0,Milwaukee,Detroit,0.0,2.0,29.0
34270,Milwaukee_10/31/14,Milwaukee,2014.0,10/31/14,Philadelphia,        93-81,Regular Season,-8.5,1.0,12.0,1.0,3.5,Milwaukee,Philadelphia,1.0,3.0,27.0
