,Index,Team,Season,Date,Against,Score,Type,PS,WPS,Diff,W,Bias,Home,Away,FWStreak,UWStreak
82,Atlanta_01/15/02,Dallas,2001,1/15/02,@ Atlanta,116-107,Regular Season,-4,1,9,1,5,Atlanta,Dallas,0,0
83,Atlanta_01/15/05,Atlanta,2004,1/15/05,Charlotte,        103-95,Regular Season,-4.5,1,8,1,3.5,Atlanta,Charlotte,0,1
84,Atlanta_01/15/07,Atlanta,2006,1/15/07,Boston,        100-96,Regular Season,-5.5,0,4,1,-1.5,Atlanta,Boston,1,4
85,Atlanta_01/15/08,Atlanta,2007,1/15/08,Denver,        104-93,Regular Season,-3,1,11,1,8,Atlanta,Denver,2,0
86,Atlanta_01/15/10,Atlanta,2009,1/15/10,Phoenix,        102-101,Regular Season,-5.5,0,1,1,-4.5,Atlanta,Phoenix,3,0
87,Atlanta_01/15/11,Atlanta,2010,1/15/11,Houston,        106-112,Regular Season,-8.5,0,-6,0,-14.5,Atlanta,Houston,4,0
88,Atlanta_01/15/96,Atlanta,1995,1/15/96,Detroit,96-88,Regular Season,-4.5,1,8,1,3.5,Atlanta,Detroit,0,0
89,Atlanta_01/16/06,Atlanta,2005,1/16/06,Houston,        94-83,Regular Season,-4,1,11,1,7,Atlanta,Houston,1,0
90,Atlanta_01/16/12,Atlanta,2011,1/16/12,Toronto,        93-84,Regular Season,-10,0,9,1,-1,Atlanta,Toronto,0,0
91,Atlanta_01/16/13,Atlanta,2012,1/16/13,Brooklyn,        109-95,Regular Season,-3,1,14,1,11,Atlanta,Brooklyn,1,0
92,Atlanta_01/16/14,Atlanta,2013,1/16/14,Brooklyn,        110-127,Regular Season,-1,0,-17,0,-18,Atlanta,Brooklyn,2,0
93,Atlanta_01/16/95,Atlanta,1994,1/16/95,Miami,99-95,Regular Season,-5.5,0,4,1,-1.5,Atlanta,Miami,0,1
94,Atlanta_01/16/97,Atlanta,1996,1/16/97,Orlando,78-67,Regular Season,-9.5,1,11,1,1.5,Atlanta,Orlando,1,1
95,Atlanta_01/16/98,Atlanta,1997,1/16/98,Golden State,102-89,Regular Season,-13.5,0,13,1,-0.5,Atlanta,Golden State,2,1
96,Atlanta_01/17/00,Milwaukee,1999,1/17/00,@ Atlanta,107-101,Regular Season,-1,1,6,1,5,Atlanta,Milwaukee,0,3
97,Atlanta_01/17/02,Atlanta,2001,1/17/02,Chicago,91-94,Regular Season,-7.5,0,-3,0,-10.5,Atlanta,Chicago,0,0
98,Atlanta_01/17/04,Atlanta,2003,1/17/04,Toronto,75-70,Regular Season,-2.5,1,5,1,2.5,Atlanta,Toronto,0,0
99,Atlanta_01/17/05,Brooklyn,2004,1/17/05,@ Atlanta,        85-84,Regular Season,0,1,1,1,1,Atlanta,Brooklyn,0,1
100,Atlanta_01/17/11,Atlanta,2010,1/17/11,Sacramento,        100-98,Regular Season,-9.5,0,2,1,-7.5,Atlanta,Sacramento,1,0
101,Atlanta_01/17/94,Atlanta,1993,1/17/94,Milwaukee,102-98,Regular Season,-11,0,4,1,-7,Atlanta,Milwaukee,0,2
102,Atlanta_01/17/96,Atlanta,1995,1/17/96,Indiana,102-93,Regular Season,-1,1,9,1,8,Atlanta,Indiana,1,0
103,Atlanta_01/18/03,Atlanta,2002,1/18/03,New York,92-95,Regular Season,-3.5,0,-3,0,-6.5,Atlanta,New York,0,3
104,Atlanta_01/18/06,Detroit,2005,1/18/06,@ Atlanta,        117-89,Regular Season,-9.5,1,28,1,18.5,Atlanta,Detroit,0,0
105,Atlanta_01/18/10,Atlanta,2009,1/18/10,Oklahoma City,        91-94,Regular Season,-6,0,-3,0,-9,Atlanta,Oklahoma City,0,0
106,Atlanta_01/18/12,Atlanta,2011,1/18/12,Portland,        92-89,Regular Season,-2,1,3,1,1,Atlanta,Portland,1,0
107,Atlanta_01/18/91,Atlanta,1990,1/18/91,Chicago,114-105,Regular Season,-1.5,1,9,1,7.5,Atlanta,Chicago,0,2
108,Atlanta_01/18/95,Atlanta,1994,1/18/95,Philadelphia,80-92,Regular Season,-9.5,0,-12,0,-21.5,Atlanta,Philadelphia,1,2
109,Atlanta_01/18/97,Atlanta,1996,1/18/97,Milwaukee,94-71,Regular Season,-8,1,23,1,15,Atlanta,Milwaukee,0,4
110,Atlanta_01/19/02,Milwaukee,2001,1/19/02,@ Atlanta,116-107,Regular Season,-3,1,9,1,6,Atlanta,Milwaukee,1,0
