,Index,Team,Season,Date,Against,Score,Type,PS,WPS,Diff,W,Bias,Home,Away,FWStreak,UWStreak,permalink,attendance
3236,New England_Monday 08/20/12,Philadelphia,2012,Monday 08/20/12,@ New England,27-17,Pre-Week 2,-3.0,1,10,1,7.0,New England,Philadelphia,-2,3,201208200nyg,
3237,New England_Monday 09/09/02,Pittsburgh,2002,Monday 09/09/02,@ New England,14-30,Week 1,-2.5,0,-16,0,-18.5,New England,Pittsburgh,-1,-1,200209090nyg,
3238,New England_Monday 09/14/09,New England,2009,Monday 09/14/09,Buffalo,25-24,Week 1,-13.0,0,1,1,-12.0,New England,Buffalo,1,-7,200909140nyg,
3239,New England_Monday 10/20/08,New England,2008,Monday 10/20/08,Denver,41-7,Week 7,-3.0,1,34,1,31.0,New England,Denver,2,3,200810200nyg,
3240,New England_Monday 11/07/05,Indianapolis,2005,Monday 11/07/05,@ New England,40-21,Week 9,-4.5,1,19,1,14.5,New England,Indianapolis,2,5,200511070nyg,
3241,New England_Monday 11/15/99,New England,1999,Monday 11/15/99,N.Y. Jets,17-24,Week 10,-6.0,0,-7,0,-13.0,New England,N.Y. Jets,-1,1,199911150nyg,
3242,New England_Monday 11/21/11,New England,2011,Monday 11/21/11,Kansas City,34-3,Week 11,-17.0,1,31,1,14.0,New England,Kansas City,-3,-1,201111210nyg,
3243,New England_Monday 12/04/00,New England,2000,Monday 12/04/00,Kansas City,30-24,Week 14,0.0,1,6,1,6.0,New England,Kansas City,1,-3,200012040nyg,
3244,New England_Monday 12/06/10,New England,2010,Monday 12/06/10,N.Y. Jets,45-3,Week 13,-4.0,1,42,1,38.0,New England,N.Y. Jets,2,-2,201012060nyg,
3245,New England_Monday 12/10/12,New England,2012,Monday 12/10/12,Houston,42-14,Week 14,-5.5,1,28,1,22.5,New England,Houston,3,1,201212100nyg,
3246,New England_Saturday 01/07/06,New England,2005,Saturday 01/07/06,Jacksonville,28-3,Wildcard,-7.5,1,25,1,17.5,New England,Jacksonville,1,2,200601070nyg,
3247,New England_Saturday 01/10/04,New England,2003,Saturday 01/10/04,Tennessee,17-14,Divisional,-6.5,0,3,1,-3.5,New England,Tennessee,2,5,200401100nyg,
3248,New England_Saturday 01/11/14,New England,2013,Saturday 01/11/14,Indianapolis,43-22,Divisional,-7.5,1,21,1,13.5,New England,Indianapolis,3,-1,201401110nyg,
3249,New England_Saturday 01/12/08,New England,2007,Saturday 01/12/08,Jacksonville,31-20,Divisional,-13.5,0,11,1,-2.5,New England,Jacksonville,4,-1,200801120nyg,
3250,New England_Saturday 01/14/12,New England,2011,Saturday 01/14/12,Denver,45-10,Divisional,-14.0,1,35,1,21.0,New England,Denver,-1,1,201201140nyg,
3251,New England_Saturday 01/19/02,New England,2001,Saturday 01/19/02,Oakland,16-13,Divisional,-3.0,0,3,1,0.0,New England,Oakland,1,2,200201190nyg,
3252,New England_Saturday 08/17/02,New England,2002,Saturday 08/17/02,Philadelphia,16-15,Pre-Week 2,-3.5,0,1,1,-2.5,New England,Philadelphia,1,2,200208170nyg,
3253,New England_Saturday 08/19/06,New England,2006,Saturday 08/19/06,Arizona,30-3,Pre-Week 2,-3.5,1,27,1,23.5,New England,Arizona,3,-1,200608190nyg,
3254,New England_Saturday 08/21/99,New England,1999,Saturday 08/21/99,Dallas,34-14,Pre-Week 2,-4.0,1,20,1,16.0,New England,Dallas,-1,2,199908210nyg,
3255,New England_Saturday 08/26/06,New England,2006,Saturday 08/26/06,Washington,41-0,Pre-Week 3,-3.5,1,41,1,37.5,New England,Washington,-1,4,200608260nyg,
3256,New England_Saturday 12/17/05,New England,2005,Saturday 12/17/05,Tampa Bay,28-0,Week 15,-6.0,1,28,1,22.0,New England,Tampa Bay,-3,1,200512170nyg,
3257,New England_Saturday 12/22/01,New England,2001,Saturday 12/22/01,Miami,20-13,Week 15,-3.0,1,7,1,4.0,New England,Miami,2,-2,200112220nyg,
3258,New England_Saturday 12/24/11,New England,2011,Saturday 12/24/11,Miami,27-24,Week 16,-9.0,0,3,1,-6.0,New England,Miami,3,1,201112240nyg,
3259,New England_Saturday 12/27/03,New England,2003,Saturday 12/27/03,Buffalo,31-0,Week 17,-9.5,1,31,1,21.5,New England,Buffalo,4,3,200312270nyg,
3260,New England_Sunday 01/01/06,New England,2005,Sunday 01/01/06,Miami,26-28,Week 17,-7.0,0,-2,0,-9.0,New England,Miami,6,1,200601010nyg,
3261,New England_Sunday 01/01/12,New England,2011,Sunday 01/01/12,Buffalo,49-21,Week 17,-10.0,1,28,1,18.0,New England,Buffalo,-1,-2,201201010nyg,81077.0
3262,New England_Sunday 01/02/00,Baltimore,1999,Sunday 01/02/00,@ New England,3-20,Week 17,-2.5,0,-17,0,-19.5,New England,Baltimore,1,1,200001020nyg,
3263,New England_Sunday 01/02/05,New England,2004,Sunday 01/02/05,San Francisco,21-7,Week 17,-13.0,1,14,1,1.0,New England,San Francisco,2,2,200501020nyg,
3264,New England_Sunday 01/02/11,New England,2010,Sunday 01/02/11,Miami,38-7,Week 17,-4.0,1,31,1,27.0,New England,Miami,3,-2,201101020nyg,
3265,New England_Sunday 01/07/07,New England,2006,Sunday 01/07/07,N.Y. Jets,37-16,Wildcard,-9.5,1,21,1,11.5,New England,N.Y. Jets,1,2,200701070nyg,
3266,New England_Sunday 01/10/10,New England,2009,Sunday 01/10/10,Baltimore,14-33,Wildcard,-3.5,0,-19,0,-22.5,New England,Baltimore,2,7,201001100nyg,
3267,New England_Sunday 01/13/13,New England,2012,Sunday 01/13/13,Houston,41-28,Divisional,-9.5,1,13,1,3.5,New England,Houston,-1,2,201301130nyg,
3268,New England_Sunday 01/16/05,New England,2004,Sunday 01/16/05,Indianapolis,20-3,Divisional,0.0,1,17,1,17.0,New England,Indianapolis,2,-3,200501160nyg,
3269,New England_Sunday 01/16/11,New England,2010,Sunday 01/16/11,N.Y. Jets,21-28,Divisional,-9.5,0,-7,0,-16.5,New England,N.Y. Jets,3,-2,201101160nyg,
3270,New England_Sunday 01/18/04,New England,2003,Sunday 01/18/04,Indianapolis,24-14,Conference,-4.0,1,10,1,6.0,New England,Indianapolis,-1,-4,200401180nyg,
3271,New England_Sunday 01/20/08,New England,2007,Sunday 01/20/08,San Diego,21-12,Conference,-14.0,0,9,1,-5.0,New England,San Diego,-1,-2,200801200nyg,
3272,New England_Sunday 01/22/12,New England,2011,Sunday 01/22/12,Baltimore,23-20,Conference,-7.0,0,3,1,-4.0,New England,Baltimore,1,-1,201201220nyg,
3273,New England_Sunday 02/03/08,New England,2007,Sunday 02/03/08,N.Y. Giants,14-17,Superbowl,-12.5,0,-3,0,-15.5,New England,N.Y. Giants,3,-1,200802030nyg,
3274,New England_Sunday 08/20/00,New England,2000,Sunday 08/20/00,Tampa Bay,21-31,Pre-Week 3,-3.0,0,-10,0,-13.0,New England,Tampa Bay,-1,-1,200008200nyg,
3275,New England_Sunday 09/03/00,Tampa Bay,2000,Sunday 09/03/00,@ New England,21-16,Week 1,-3.0,1,5,1,2.0,New England,Tampa Bay,1,-2,200009030nyg,77434.0
3276,New England_Sunday 09/07/08,New England,2008,Sunday 09/07/08,Kansas City,17-10,Week 1,-16.0,0,7,1,-9.0,New England,Kansas City,-4,1,200809070nyg,
3277,New England_Sunday 09/10/06,New England,2006,Sunday 09/10/06,Buffalo,19-17,Week 1,-10.0,0,2,1,-8.0,New England,Buffalo,2,1,200609100nyg,
3278,New England_Sunday 09/12/10,New England,2010,Sunday 09/12/10,Cincinnati,38-24,Week 1,-5.0,1,14,1,9.0,New England,Cincinnati,3,-1,201009120nyg,77245.0
3279,New England_Sunday 09/16/12,New England,2012,Sunday 09/16/12,Arizona,18-20,Week 2,-13.0,0,-2,0,-15.0,New England,Arizona,9,5,201209160nyg,76964.0
3280,New England_Sunday 09/17/00,New England,2000,Sunday 09/17/00,Minnesota,13-21,Week 3,-3.0,0,-8,0,-11.0,New England,Minnesota,-1,-6,200009170nyg,
3281,New England_Sunday 09/18/11,New England,2011,Sunday 09/18/11,San Diego,35-21,Week 2,-6.5,1,14,1,7.5,New England,San Diego,-1,-1,201109180nyg,
3282,New England_Sunday 09/19/99,New England,1999,Sunday 09/19/99,Indianapolis,31-28,Week 2,-3.5,0,3,1,-0.5,New England,Indianapolis,-1,1,199909190nyg,73170.0
3283,New England_Sunday 09/21/03,New England,2003,Sunday 09/21/03,N.Y. Jets,23-16,Week 3,-6.0,1,7,1,1.0,New England,N.Y. Jets,-1,5,200309210nyg,
3284,New England_Sunday 09/21/08,New England,2008,Sunday 09/21/08,Miami,13-38,Week 3,-12.5,0,-25,0,-37.5,New England,Miami,1,2,200809210nyg,79276.0
3285,New England_Sunday 09/21/14,New England,2014,Sunday 09/21/14,Oakland,16-9,Week 3,-14.0,0,7,1,-7.0,New England,Oakland,-1,-1,201409210nyg,77462.0
3286,New England_Sunday 09/22/02,New England,2002,Sunday 09/22/02,Kansas City,41-38,Week 3,-9.0,0,3,1,-6.0,New England,Kansas City,1,1,200209220nyg,
3287,New England_Sunday 09/22/13,New England,2013,Sunday 09/22/13,Tampa Bay,23-3,Week 3,-7.5,1,20,1,12.5,New England,Tampa Bay,2,2,201309220nyg,
3288,New England_Sunday 09/23/01,N.Y. Jets,2001,Sunday 09/23/01,@ New England,10-3,Week 2,-2.0,1,7,1,5.0,New England,N.Y. Jets,1,3,200109230nyg,
3289,New England_Sunday 09/23/07,New England,2007,Sunday 09/23/07,Buffalo,38-7,Week 3,-16.5,1,31,1,14.5,New England,Buffalo,-1,-4,200709230nyg,
3290,New England_Sunday 09/26/10,New England,2010,Sunday 09/26/10,Buffalo,38-30,Week 3,-14.0,0,8,1,-6.0,New England,Buffalo,-1,1,201009260nyg,78386.0
3291,New England_Sunday 09/27/09,New England,2009,Sunday 09/27/09,Atlanta,26-10,Week 3,-4.5,1,16,1,11.5,New England,Atlanta,1,-1,200909270nyg,
3292,New England_Sunday 09/30/01,Indianapolis,2001,Sunday 09/30/01,@ New England,13-44,Week 3,-13.0,0,-31,0,-44.0,New England,Indianapolis,8,-2,200109300nyg,
3293,New England_Sunday 10/02/05,New England,2005,Sunday 10/02/05,San Diego,17-41,Week 4,-4.0,0,-24,0,-28.0,New England,San Diego,4,-2,200510020nyg,
3294,New England_Sunday 10/04/09,New England,2009,Sunday 10/04/09,Baltimore,27-21,Week 4,-1.0,1,6,1,5.0,New England,Baltimore,3,5,200910040nyg,
3295,New England_Sunday 10/05/03,New England,2003,Sunday 10/05/03,Tennessee,38-30,Week 5,0.0,1,8,1,8.0,New England,Tennessee,4,-4,200310050nyg,78863.0
3296,New England_Sunday 10/07/07,New England,2007,Sunday 10/07/07,Cleveland,34-17,Week 5,-15.5,1,17,1,1.5,New England,Cleveland,-3,2,200710070nyg,
3297,New England_Sunday 10/07/12,New England,2012,Sunday 10/07/12,Denver,31-21,Week 5,-5.5,1,10,1,4.5,New England,Denver,1,-1,201210070nyg,79911.0
3298,New England_Sunday 10/08/00,Indianapolis,2000,Sunday 10/08/00,@ New England,16-24,Week 6,-3.5,0,-8,0,-11.5,New England,Indianapolis,7,2,200010080nyg,
3299,New England_Sunday 10/08/06,New England,2006,Sunday 10/08/06,Miami,20-10,Week 5,-9.5,1,10,1,0.5,New England,Miami,3,2,200610080nyg,
3300,New England_Sunday 10/09/11,New England,2011,Sunday 10/09/11,N.Y. Jets,30-21,Week 5,-7.5,1,9,1,1.5,New England,N.Y. Jets,5,1,201110090nyg,78650.0
3301,New England_Sunday 10/10/04,New England,2004,Sunday 10/10/04,Miami,24-10,Week 5,-11.0,1,14,1,3.0,New England,Miami,6,-2,200410100nyg,
3302,New England_Sunday 10/12/03,New England,2003,Sunday 10/12/03,N.Y. Giants,17-6,Week 6,-2.5,1,11,1,8.5,New England,N.Y. Giants,-2,1,200310120nyg,
3303,New England_Sunday 10/13/02,New England,2002,Sunday 10/13/02,Green Bay,10-28,Week 6,-6.0,0,-18,0,-24.0,New England,Green Bay,1,2,200210130nyg,
3304,New England_Sunday 10/13/13,New England,2013,Sunday 10/13/13,New Orleans,30-27,Week 6,-2.5,1,3,1,0.5,New England,New Orleans,-1,3,201310130nyg,
3305,New England_Sunday 10/14/01,San Diego,2001,Sunday 10/14/01,@ New England,26-29,Week 5,-3.0,0,-3,0,-6.0,New England,San Diego,4,1,200110140nyg,
3306,New England_Sunday 10/15/00,New England,2000,Sunday 10/15/00,N.Y. Jets,17-34,Week 7,-3.0,0,-17,0,-20.0,New England,N.Y. Jets,-1,1,200010150nyg,78189.0
3307,New England_Sunday 10/16/11,New England,2011,Sunday 10/16/11,Dallas,20-16,Week 6,-6.5,0,4,1,-2.5,New England,Dallas,-3,2,201110160nyg,79243.0
3308,New England_Sunday 10/17/04,New England,2004,Sunday 10/17/04,Seattle,30-20,Week 6,-3.5,1,10,1,6.5,New England,Seattle,1,1,200410170nyg,
3309,New England_Sunday 10/17/10,New England,2010,Sunday 10/17/10,Baltimore,23-20,Week 6,-3.0,0,3,1,0.0,New England,Baltimore,2,2,201010170nyg,78341.0
3310,New England_Sunday 10/17/99,New England,1999,Sunday 10/17/99,Miami,30-31,Week 6,-3.0,0,-1,0,-4.0,New England,Miami,3,1,199910170nyg,
3311,New England_Sunday 10/18/09,New England,2009,Sunday 10/18/09,Tennessee,59-0,Week 6,-9.5,1,59,1,49.5,New England,Tennessee,-1,1,200910180nyg,
3312,New England_Sunday 10/21/12,New England,2012,Sunday 10/21/12,N.Y. Jets,29-26,Week 7,-11.0,0,3,1,-8.0,New England,N.Y. Jets,2,-2,201210210nyg,81352.0
3313,New England_Sunday 10/24/04,New England,2004,Sunday 10/24/04,N.Y. Jets,13-7,Week 7,-6.0,0,6,1,0.0,New England,N.Y. Jets,1,2,200410240nyg,
3314,New England_Sunday 10/24/99,New England,1999,Sunday 10/24/99,Denver,24-23,Week 7,-3.5,0,1,1,-2.5,New England,Denver,3,-1,199910240nyg,77982.0
3315,New England_Sunday 10/26/03,New England,2003,Sunday 10/26/03,Cleveland,9-3,Week 8,-5.5,1,6,1,0.5,New England,Cleveland,5,-2,200310260nyg,
3316,New England_Sunday 10/26/08,New England,2008,Sunday 10/26/08,St. Louis,23-16,Week 8,-9.0,0,7,1,-2.0,New England,St. Louis,6,1,200810260nyg,
3317,New England_Sunday 10/26/14,New England,2014,Sunday 10/26/14,Chicago,51-23,Week 8,-5.5,1,28,1,22.5,New England,Chicago,7,1,201410260nyg,
3318,New England_Sunday 10/27/02,New England,2002,Sunday 10/27/02,Denver,16-24,Week 8,-3.0,0,-8,0,-11.0,New England,Denver,8,-3,200210270nyg,
3319,New England_Sunday 10/27/13,New England,2013,Sunday 10/27/13,Miami,27-17,Week 8,-6.5,1,10,1,3.5,New England,Miami,-1,2,201310270nyg,
3320,New England_Sunday 10/28/07,New England,2007,Sunday 10/28/07,Washington,52-7,Week 8,-15.0,1,45,1,30.0,New England,Washington,-1,1,200710280nyg,
3321,New England_Sunday 10/31/10,New England,2010,Sunday 10/31/10,Minnesota,28-18,Week 8,-5.0,1,10,1,5.0,New England,Minnesota,-2,-1,201010310nyg,
3322,New England_Sunday 11/02/14,Denver,2014,Sunday 11/02/14,@ New England,21-43,Week 9,-3.0,0,-22,0,-25.0,New England,Denver,-6,2,201411020nyg,
3323,New England_Sunday 11/03/13,New England,2013,Sunday 11/03/13,Pittsburgh,55-31,Week 9,-5.5,1,24,1,18.5,New England,Pittsburgh,4,1,201311030nyg,
3324,New England_Sunday 11/05/00,New England,2000,Sunday 11/05/00,Buffalo,13-16,Week 10,-2.0,0,-3,0,-5.0,New England,Buffalo,7,-1,200011050nyg,
3325,New England_Sunday 11/06/11,New England,2011,Sunday 11/06/11,N.Y. Giants,20-24,Week 9,-9.0,0,-4,0,-13.0,New England,N.Y. Giants,-1,3,201111060nyg,
3326,New England_Sunday 11/08/09,New England,2009,Sunday 11/08/09,Miami,27-17,Week 9,-10.5,0,10,1,-0.5,New England,Miami,-1,-2,200911080nyg,78774.0
3327,New England_Sunday 11/09/08,New England,2008,Sunday 11/09/08,Buffalo,20-10,Week 10,-3.5,1,10,1,6.5,New England,Buffalo,1,-1,200811090nyg,
3328,New England_Sunday 11/11/01,New England,2001,Sunday 11/11/01,Buffalo,21-11,Week 9,-6.0,1,10,1,4.0,New England,Buffalo,3,-4,200111110nyg,
3329,New England_Sunday 11/11/12,New England,2012,Sunday 11/11/12,Buffalo,37-31,Week 10,-13.5,0,6,1,-7.5,New England,Buffalo,4,1,201211110nyg,
3330,New England_Sunday 11/12/06,New England,2006,Sunday 11/12/06,N.Y. Jets,14-17,Week 10,-10.5,0,-3,0,-13.5,New England,N.Y. Jets,-1,-1,200611120nyg,
3331,New England_Sunday 11/18/12,New England,2012,Sunday 11/18/12,Indianapolis,59-24,Week 11,-10.0,1,35,1,25.0,New England,Indianapolis,1,1,201211180nyg,
3332,New England_Sunday 11/19/00,New England,2000,Sunday 11/19/00,Cincinnati,16-13,Week 12,-7.0,0,3,1,-4.0,New England,Cincinnati,2,1,200011190nyg,77897.0
3333,New England_Sunday 11/20/05,New England,2005,Sunday 11/20/05,New Orleans,24-17,Week 11,-8.5,0,7,1,-1.5,New England,New Orleans,4,-2,200511200nyg,
3334,New England_Sunday 11/21/10,New England,2010,Sunday 11/21/10,Indianapolis,31-28,Week 11,-4.0,0,3,1,-1.0,New England,Indianapolis,5,2,201011210nyg,
3335,New England_Sunday 11/22/09,New England,2009,Sunday 11/22/09,N.Y. Jets,31-14,Week 11,-10.5,1,17,1,6.5,New England,N.Y. Jets,-1,3,200911220nyg,78491.0
3336,New England_Sunday 11/23/14,New England,2014,Sunday 11/23/14,Detroit,34-9,Week 12,-7.5,1,25,1,17.5,New England,Detroit,3,-2,201411230nyg,80520.0
3337,New England_Sunday 11/24/02,New England,2002,Sunday 11/24/02,Minnesota,24-17,Week 12,-8.0,0,7,1,-1.0,New England,Minnesota,4,-1,200211240nyg,
3338,New England_Sunday 11/25/01,New Orleans,2001,Sunday 11/25/01,@ New England,17-34,Week 11,-1.0,0,-17,0,-18.0,New England,New Orleans,-2,5,200111250nyg,
3339,New England_Sunday 11/26/06,New England,2006,Sunday 11/26/06,Chicago,17-13,Week 12,-3.5,1,4,1,0.5,New England,Chicago,6,-1,200611260nyg,
3340,New England_Sunday 11/28/04,New England,2004,Sunday 11/28/04,Baltimore,24-3,Week 12,-7.0,1,21,1,14.0,New England,Baltimore,1,-1,200411280nyg,
3341,New England_Sunday 11/30/08,New England,2008,Sunday 11/30/08,Pittsburgh,10-33,Week 13,-1.0,0,-23,0,-24.0,New England,Pittsburgh,1,-2,200811300nyg,
3342,New England_Sunday 12/03/06,New England,2006,Sunday 12/03/06,Detroit,28-21,Week 13,-13.5,0,7,1,-6.5,New England,Detroit,3,-8,200612030nyg,
3343,New England_Sunday 12/04/05,New England,2005,Sunday 12/04/05,N.Y. Jets,16-3,Week 13,-10.0,1,13,1,3.0,New England,N.Y. Jets,4,4,200512040nyg,
3344,New England_Sunday 12/04/11,New England,2011,Sunday 12/04/11,Indianapolis,31-24,Week 13,-20.5,0,7,1,-13.5,New England,Indianapolis,5,1,201112040nyg,80634.0
3345,New England_Sunday 12/07/03,New England,2003,Sunday 12/07/03,Miami,12-0,Week 14,-3.0,1,12,1,9.0,New England,Miami,-1,1,200312070nyg,78217.0
3346,New England_Sunday 12/08/02,New England,2002,Sunday 12/08/02,Buffalo,27-17,Week 14,-3.5,1,10,1,6.5,New England,Buffalo,3,-2,200212080nyg,
3347,New England_Sunday 12/08/13,New England,2013,Sunday 12/08/13,Cleveland,27-26,Week 14,-9.5,0,1,1,-8.5,New England,Cleveland,4,1,201312080nyg,
3348,New England_Sunday 12/09/01,New England,2001,Sunday 12/09/01,Cleveland,27-16,Week 13,-5.5,1,11,1,5.5,New England,Cleveland,5,-1,200112090nyg,
3349,New England_Sunday 12/09/07,New England,2007,Sunday 12/09/07,Pittsburgh,34-13,Week 14,-10.5,1,21,1,10.5,New England,Pittsburgh,6,1,200712090nyg,
3350,New England_Sunday 12/12/04,New England,2004,Sunday 12/12/04,Cincinnati,35-28,Week 14,-10.5,0,7,1,-3.5,New England,Cincinnati,2,-1,200412120nyg,
3351,New England_Sunday 12/13/09,New England,2009,Sunday 12/13/09,Carolina,20-10,Week 14,-12.5,0,10,1,-2.5,New England,Carolina,-1,1,200912130nyg,78780.0
3352,New England_Sunday 12/14/03,New England,2003,Sunday 12/14/03,Jacksonville,27-13,Week 15,-6.5,1,14,1,7.5,New England,Jacksonville,1,-1,200312140nyg,
3353,New England_Sunday 12/16/07,New England,2007,Sunday 12/16/07,N.Y. Jets,20-10,Week 15,-20.5,0,10,1,-10.5,New England,N.Y. Jets,1,1,200712160nyg,
3354,New England_Sunday 12/17/06,New England,2006,Sunday 12/17/06,Houston,40-7,Week 15,-13.0,1,33,1,20.0,New England,Houston,3,1,200612170nyg,78657.0
3355,New England_Sunday 12/21/08,New England,2008,Sunday 12/21/08,Arizona,47-7,Week 16,-9.0,1,40,1,31.0,New England,Arizona,1,-1,200812210nyg,78653.0
3356,New England_Sunday 12/23/07,New England,2007,Sunday 12/23/07,Miami,28-7,Week 16,-22.0,0,21,1,-1.0,New England,Miami,3,-1,200712230nyg,
3357,New England_Sunday 12/24/00,Miami,2000,Sunday 12/24/00,@ New England,27-24,Week 17,-4.0,0,3,1,-1.0,New England,Miami,1,5,200012240nyg,
3358,New England_Sunday 12/26/99,Buffalo,1999,Sunday 12/26/99,@ New England,13-10,Week 16,-3.0,0,3,1,0.0,New England,Buffalo,-1,3,199912260nyg,78095.0
3359,New England_Sunday 12/27/09,New England,2009,Sunday 12/27/09,Jacksonville,35-7,Week 16,-9.5,1,28,1,18.5,New England,Jacksonville,-1,-5,200912270nyg,78809.0
3360,New England_Sunday 12/29/02,Miami,2002,Sunday 12/29/02,@ New England,24-27,Week 17,-2.5,0,-3,0,-5.5,New England,Miami,2,2,200212290nyg,
3361,New England_Sunday 12/29/13,New England,2013,Sunday 12/29/13,Buffalo,34-20,Week 17,-7.5,1,14,1,6.5,New England,Buffalo,3,1,201312290nyg,80177.0
3362,New England_Sunday 12/30/12,New England,2012,Sunday 12/30/12,Miami,28-0,Week 17,-11.5,1,28,1,16.5,New England,Miami,4,-1,201212300nyg,80657.0
3363,New England_Sunday Night 01/20/13,New England,2012,Sunday Night 01/20/13,Baltimore,13-28,Conference,-8.0,0,-15,0,-23.0,New England,Baltimore,6,-1,201301200nyg,
3364,New England_Sunday Night 02/01/04,New England,2003,Sunday Night 02/01/04,Carolina,32-29,Superbowl,-7.0,0,3,1,-4.0,New England,Carolina,1,-1,200402010nyg,
3365,New England_Sunday Night 02/03/02,St. Louis,2001,Sunday Night 02/03/02,@ New England,17-20,Superbowl,-14.0,0,-3,0,-17.0,New England,St. Louis,3,2,200202030nyg,
3366,New England_Sunday Night 02/05/12,New England,2011,Sunday Night 02/05/12,N.Y. Giants,17-21,Superbowl,-3.0,0,-4,0,-7.0,New England,N.Y. Giants,3,3,201202050nyg,
3367,New England_Sunday Night 09/16/07,New England,2007,Sunday Night 09/16/07,San Diego,38-14,Week 2,-3.5,1,24,1,20.5,New England,San Diego,-1,4,200709160nyg,
3368,New England_Sunday Night 09/24/06,New England,2006,Sunday Night 09/24/06,Denver,7-17,Week 3,-6.5,0,-10,0,-16.5,New England,Denver,-1,4,200609240nyg,
3369,New England_Sunday Night 09/26/99,New England,1999,Sunday Night 09/26/99,N.Y. Giants,16-14,Week 3,-6.0,0,2,1,-4.0,New England,N.Y. Giants,-2,-2,199909260nyg,
3370,New England_Sunday Night 10/05/14,Cincinnati,2014,Sunday Night 10/05/14,@ New England,17-43,Week 5,-2.5,0,-26,0,-28.5,New England,Cincinnati,-1,2,201410050nyg,80307.0
3371,New England_Sunday Night 10/30/05,New England,2005,Sunday Night 10/30/05,Buffalo,21-16,Week 8,-10.0,0,5,1,-5.0,New England,Buffalo,3,-2,200510300nyg,78630.0
3372,New England_Sunday Night 11/05/06,New England,2006,Sunday Night 11/05/06,Indianapolis,20-27,Week 9,-3.0,0,-7,0,-10.0,New England,Indianapolis,-1,2,200611050nyg,
3373,New England_Sunday Night 11/14/04,New England,2004,Sunday Night 11/14/04,Buffalo,29-6,Week 10,-7.0,1,23,1,16.0,New England,Buffalo,1,-3,200411140nyg,
3374,New England_Sunday Night 11/16/03,New England,2003,Sunday Night 11/16/03,Dallas,12-0,Week 11,-4.5,1,12,1,7.5,New England,Dallas,-1,-1,200311160nyg,
3375,New England_Sunday Night 11/18/01,St. Louis,2001,Sunday Night 11/18/01,@ New England,24-17,Week 10,-8.0,0,7,1,-1.0,New England,St. Louis,1,-1,200111180nyg,
3376,New England_Sunday Night 11/24/13,New England,2013,Sunday Night 11/24/13,Denver,34-31,Week 12,-1.0,1,3,1,2.0,New England,Denver,1,-2,201311240nyg,80499.0
3377,New England_Sunday Night 11/25/07,New England,2007,Sunday Night 11/25/07,Philadelphia,31-28,Week 12,-24.0,0,3,1,-21.0,New England,Philadelphia,2,3,200711250nyg,
3378,New England_Sunday Night 12/05/99,New England,1999,Sunday Night 12/05/99,Dallas,13-6,Week 13,-2.5,1,7,1,4.5,New England,Dallas,3,3,199912050nyg,78200.0
3379,New England_Sunday Night 12/16/12,New England,2012,Sunday Night 12/16/12,San Francisco,34-41,Week 15,-4.0,0,-7,0,-11.0,New England,San Francisco,4,1,201212160nyg,
3380,New England_Sunday Night 12/19/10,New England,2010,Sunday Night 12/19/10,Green Bay,31-27,Week 15,-14.0,0,4,1,-10.0,New England,Green Bay,-1,4,201012190nyg,81223.0
3381,New England_Sunday Night 12/22/02,New England,2002,Sunday Night 12/22/02,N.Y. Jets,17-30,Week 16,-3.5,0,-13,0,-16.5,New England,N.Y. Jets,1,-4,200212220nyg,
3382,New England_Thursday 08/07/03,New England,2003,Thursday 08/07/03,N.Y. Giants,26-6,Pre-Week 1,-3.0,1,20,1,17.0,New England,N.Y. Giants,-1,2,200308070nyg,
3383,New England_Thursday 08/07/08,New England,2008,Thursday 08/07/08,Baltimore,15-16,Pre-Week 1,-3.5,0,-1,0,-4.5,New England,Baltimore,1,2,200808070nyg,
3384,New England_Thursday 08/09/12,New England,2012,Thursday 08/09/12,New Orleans,7-6,Pre-Week 1,-4.0,0,1,1,-3.0,New England,New Orleans,-2,1,201208090nyg,
3385,New England_Thursday 08/11/11,New England,2011,Thursday 08/11/11,Jacksonville,47-12,Pre-Week 1,-3.0,1,35,1,32.0,New England,Jacksonville,1,-1,201108110nyg,
3386,New England_Thursday 08/12/10,New England,2010,Thursday 08/12/10,New Orleans,27-24,Pre-Week 1,-1.5,1,3,1,1.5,New England,New Orleans,2,-1,201008120nyg,
3387,New England_Thursday 08/18/05,New England,2005,Thursday 08/18/05,New Orleans,27-37,Pre-Week 2,-3.5,0,-10,0,-13.5,New England,New Orleans,4,1,200508180nyg,
3388,New England_Thursday 08/20/09,New England,2009,Thursday 08/20/09,Cincinnati,6-7,Pre-Week 2,-6.5,0,-1,0,-7.5,New England,Cincinnati,2,1,200908200nyg,
3389,New England_Thursday 08/24/00,New England,2000,Thursday 08/24/00,Carolina,29-21,Pre-Week 4,-5.5,1,8,1,2.5,New England,Carolina,-2,3,200008240nyg,
3390,New England_Thursday 08/26/10,New England,2010,Thursday 08/26/10,St. Louis,35-36,Pre-Week 3,-8.0,0,-1,0,-9.0,New England,St. Louis,1,1,201008260nyg,
3391,New England_Thursday 08/29/13,New England,2013,Thursday 08/29/13,N.Y. Giants,28-20,Pre-Week 4,-1.0,1,8,1,7.0,New England,N.Y. Giants,1,4,201308290nyg,
3392,New England_Thursday 08/30/01,New England,2001,Thursday 08/30/01,Washington,33-13,Pre-Week 4,-5.0,1,20,1,15.0,New England,Washington,2,1,200108300nyg,
