,Index,Team,Season,Date,Against,Score,Type,PS,WPS,Diff,W,Bias,Home,Away,FWStreak,UWStreak,permalink,attendance,weekBySeason,ranking
3907,Pittsburgh_Monday 10/20/14,Pittsburgh,2014,Monday 10/20/14,Houston,30-23,Week 7,-3.0,1,7,1,4.0,Pittsburgh,Houston,2,2,201410200pit,56375.0,7.0,16.0
3909,Pittsburgh_Monday 10/25/99,Pittsburgh,1999,Monday 10/25/99,Atlanta,13-9,Week 7,-6.0,0,4,1,-2.0,Pittsburgh,Atlanta,4,1,199910250pit,58141.0,7.0,
3913,Pittsburgh_Monday 11/12/12,Pittsburgh,2012,Monday 11/12/12,Kansas City,16-13,Week 10,-12.5,0,3,1,-9.5,Pittsburgh,Kansas City,11,5,201211120pit,57644.0,10.0,10.0
3933,Pittsburgh_Saturday 12/16/00,Pittsburgh,2000,Saturday 12/16/00,Washington,24-3,Week 16,-2.0,1,21,1,19.0,Pittsburgh,Washington,-1,1,200012160pit,58183.0,16.0,
3934,Pittsburgh_Saturday 12/24/11,Pittsburgh,2011,Saturday 12/24/11,St. Louis,27-0,Week 16,-12.0,1,27,1,15.0,Pittsburgh,St. Louis,1,-1,201112240pit,60081.0,16.0,4.0
3936,Pittsburgh_Sunday 01/02/00,Tennessee,1999,Sunday 01/02/00,@ Pittsburgh,47-36,Week 17,-3.0,1,11,1,8.0,Pittsburgh,Tennessee,1,4,200001020pit,48025.0,17.0,
3942,Pittsburgh_Sunday 09/03/00,Baltimore,2000,Sunday 09/03/00,@ Pittsburgh,16-0,Week 1,-3.0,1,16,1,13.0,Pittsburgh,Baltimore,2,-1,200009030pit,55049.0,1.0,
3943,Pittsburgh_Sunday 09/07/03,Pittsburgh,2003,Sunday 09/07/03,Baltimore,34-15,Week 1,-6.0,1,19,1,13.0,Pittsburgh,Baltimore,-2,3,200309070pit,63157.0,1.0,
3944,Pittsburgh_Sunday 09/07/08,Pittsburgh,2008,Sunday 09/07/08,Houston,38-17,Week 1,-6.5,1,21,1,14.5,Pittsburgh,Houston,1,1,200809070pit,64001.0,1.0,
3945,Pittsburgh_Sunday 09/07/14,Pittsburgh,2014,Sunday 09/07/14,Cleveland,30-27,Week 1,-5.5,0,3,1,-2.5,Pittsburgh,Cleveland,2,-3,201409070pit,64598.0,1.0,
3946,Pittsburgh_Sunday 09/08/13,Pittsburgh,2013,Sunday 09/08/13,Tennessee,9-16,Week 1,-6.0,0,-7,0,-13.0,Pittsburgh,Tennessee,3,3,201309080pit,61585.0,1.0,
3947,Pittsburgh_Sunday 09/11/05,Pittsburgh,2005,Sunday 09/11/05,Tennessee,34-7,Week 1,-7.0,1,27,1,20.0,Pittsburgh,Tennessee,1,-1,200509110pit,62931.0,1.0,
3949,Pittsburgh_Sunday 09/12/10,Atlanta,2010,Sunday 09/12/10,@ Pittsburgh,9-15,Week 1,-1.0,0,-6,0,-7.0,Pittsburgh,Atlanta,1,1,201009120pit,63609.0,1.0,
3951,Pittsburgh_Sunday 09/16/12,Pittsburgh,2012,Sunday 09/16/12,N.Y. Jets,27-10,Week 2,-4.5,1,17,1,12.5,Pittsburgh,N.Y. Jets,1,-5,201209160pit,64511.0,2.0,8.0
3952,Pittsburgh_Sunday 09/18/11,Pittsburgh,2011,Sunday 09/18/11,Seattle,24-0,Week 2,-13.5,1,24,1,10.5,Pittsburgh,Seattle,1,4,201109180pit,63663.0,2.0,3.0
3954,Pittsburgh_Sunday 09/24/00,Tennessee,2000,Sunday 09/24/00,@ Pittsburgh,23-20,Week 4,-7.0,0,3,1,-4.0,Pittsburgh,Tennessee,1,-1,200009240pit,51769.0,4.0,
3957,Pittsburgh_Sunday 09/26/99,Pittsburgh,1999,Sunday 09/26/99,Seattle,10-29,Week 3,-3.5,0,-19,0,-22.5,Pittsburgh,Seattle,1,7,199909260pit,57881.0,3.0,
3958,Pittsburgh_Sunday 09/28/03,Pittsburgh,2003,Sunday 09/28/03,Tennessee,13-30,Week 4,-3.0,0,-17,0,-20.0,Pittsburgh,Tennessee,-2,-1,200309280pit,63244.0,4.0,8.0
3959,Pittsburgh_Sunday 09/28/14,Pittsburgh,2014,Sunday 09/28/14,Tampa Bay,24-27,Week 4,-7.5,0,-3,0,-10.5,Pittsburgh,Tampa Bay,-3,1,201409280pit,62910.0,4.0,19.0
3962,Pittsburgh_Sunday 10/03/10,Pittsburgh,2010,Sunday 10/03/10,Baltimore,14-17,Week 4,-2.0,0,-3,0,-5.0,Pittsburgh,Baltimore,1,3,201010030pit,64729.0,4.0,5.0
3963,Pittsburgh_Sunday 10/03/99,Jacksonville,1999,Sunday 10/03/99,@ Pittsburgh,17-3,Week 4,-3.0,1,14,1,11.0,Pittsburgh,Jacksonville,1,-1,199910030pit,57308.0,4.0,
3966,Pittsburgh_Sunday 10/07/12,Pittsburgh,2012,Sunday 10/07/12,Philadelphia,16-14,Week 5,-4.0,0,2,1,-2.0,Pittsburgh,Philadelphia,2,-1,201210070pit,64737.0,5.0,16.0
3967,Pittsburgh_Sunday 10/09/11,Pittsburgh,2011,Sunday 10/09/11,Tennessee,38-17,Week 5,-3.0,1,21,1,18.0,Pittsburgh,Tennessee,4,1,201110090pit,63875.0,5.0,10.0
3969,Pittsburgh_Sunday 10/15/00,Pittsburgh,2000,Sunday 10/15/00,Cincinnati,15-0,Week 7,-7.5,1,15,1,7.5,Pittsburgh,Cincinnati,3,-2,200010150pit,54328.0,7.0,
3972,Pittsburgh_Sunday 10/16/11,Pittsburgh,2011,Sunday 10/16/11,Jacksonville,17-13,Week 6,-12.5,0,4,1,-8.5,Pittsburgh,Jacksonville,-1,2,201110160pit,62934.0,6.0,13.0
3973,Pittsburgh_Sunday 10/17/10,Pittsburgh,2010,Sunday 10/17/10,Cleveland,28-10,Week 6,-14.0,1,18,1,4.0,Pittsburgh,Cleveland,2,1,201010170pit,65168.0,6.0,1.0
3974,Pittsburgh_Sunday 10/18/09,Pittsburgh,2009,Sunday 10/18/09,Cleveland,27-14,Week 6,-14.0,0,13,1,-1.0,Pittsburgh,Cleveland,4,-2,200910180pit,64398.0,6.0,15.0
3975,Pittsburgh_Sunday 10/20/13,Pittsburgh,2013,Sunday 10/20/13,Baltimore,19-16,Week 7,-2.5,1,3,1,0.5,Pittsburgh,Baltimore,6,3,201310200pit,62295.0,7.0,29.0
3976,Pittsburgh_Sunday 10/22/00,Pittsburgh,2000,Sunday 10/22/00,Cleveland,22-0,Week 8,-12.5,1,22,1,9.5,Pittsburgh,Cleveland,8,-1,200010220pit,57659.0,8.0,
3977,Pittsburgh_Sunday 10/25/09,Pittsburgh,2009,Sunday 10/25/09,Minnesota,27-17,Week 7,-6.0,1,10,1,4.0,Pittsburgh,Minnesota,3,2,200910250pit,65597.0,7.0,13.0
3978,Pittsburgh_Sunday 10/26/03,Pittsburgh,2003,Sunday 10/26/03,St. Louis,21-33,Week 8,-1.5,0,-12,0,-13.5,Pittsburgh,St. Louis,4,-1,200310260pit,62665.0,8.0,20.0
3979,Pittsburgh_Sunday 10/26/08,Pittsburgh,2008,Sunday 10/26/08,N.Y. Giants,14-21,Week 8,-3.0,0,-7,0,-10.0,Pittsburgh,N.Y. Giants,-1,2,200810260pit,64991.0,8.0,3.0
3980,Pittsburgh_Sunday 10/26/14,Indianapolis,2014,Sunday 10/26/14,@ Pittsburgh,34-51,Week 8,-5.0,0,-17,0,-22.0,Pittsburgh,Indianapolis,3,-2,201410260pit,62479.0,8.0,8.0
3981,Pittsburgh_Sunday 10/28/12,Pittsburgh,2012,Sunday 10/28/12,Washington,27-12,Week 8,-4.5,1,15,1,10.5,Pittsburgh,Washington,1,-1,201210280pit,62371.0,8.0,14.0
3982,Pittsburgh_Sunday 10/30/11,New England,2011,Sunday 10/30/11,@ Pittsburgh,17-25,Week 8,-3.0,0,-8,0,-11.0,Pittsburgh,New England,2,-1,201110300pit,64424.0,8.0,11.0
