,Index,Team,Season,Date,Against,Score,Type,PS,WPS,Diff,W,Bias,Home,Away,FWStreak,UWStreak,permalink,attendance,weekBySeason,ranking
2515,Kansas City_Sunday 11/13/11,Kansas City,2011,Sunday 11/13/11,Denver,10-17,Week 10,-3.0,0,-7,0,-10.0,Kansas City,Denver,-6,13,201111130kan,72908.0,10.0,18.0
2516,Kansas City_Sunday 11/16/08,New Orleans,2008,Sunday 11/16/08,@ Kansas City,30-20,Week 11,-6.0,1,10,1,4.0,Kansas City,New Orleans,5,-1,200811160kan,74159.0,11.0,11.0
2517,Kansas City_Sunday 11/16/14,Seattle,2014,Sunday 11/16/14,@ Kansas City,20-24,Week 11,-1.0,0,-4,0,-5.0,Kansas City,Seattle,-1,-2,201411160kan,76463.0,11.0,10.0
2518,Kansas City_Sunday 11/17/02,Kansas City,2002,Sunday 11/17/02,Buffalo,17-16,Week 11,-3.5,0,1,1,-2.5,Kansas City,Buffalo,1,-2,200211170kan,77951.0,11.0,13.0
2519,Kansas City_Sunday 11/18/12,Cincinnati,2012,Sunday 11/18/12,@ Kansas City,28-6,Week 11,-3.0,1,22,1,19.0,Kansas City,Cincinnati,-2,-1,201211180kan,63336.0,11.0,23.0
2520,Kansas City_Sunday 11/19/00,Kansas City,2000,Sunday 11/19/00,Buffalo,17-21,Week 12,-3.0,0,-4,0,-7.0,Kansas City,Buffalo,-2,-1,200011190kan,78457.0,12.0,
2522,Kansas City_Sunday 11/21/10,Kansas City,2010,Sunday 11/21/10,Arizona,31-13,Week 11,-9.0,1,18,1,9.0,Kansas City,Arizona,1,-2,201011210kan,66247.0,11.0,14.0
2523,Kansas City_Sunday 11/21/99,Kansas City,1999,Sunday 11/21/99,Seattle,19-31,Week 11,-3.0,0,-12,0,-15.0,Kansas City,Seattle,2,-1,199911210kan,78714.0,11.0,
2524,Kansas City_Sunday 11/22/09,Pittsburgh,2009,Sunday 11/22/09,@ Kansas City,24-27,Week 11,-10.5,0,-3,0,-13.5,Kansas City,Pittsburgh,-1,-1,200911220kan,70261.0,11.0,5.0
2525,Kansas City_Sunday 11/23/03,Kansas City,2003,Sunday 11/23/03,Oakland,27-24,Week 12,-11.0,0,3,1,-8.0,Kansas City,Oakland,1,1,200311230kan,78889.0,12.0,1.0
2526,Kansas City_Sunday 11/23/08,Buffalo,2008,Sunday 11/23/08,@ Kansas City,54-31,Week 12,-3.0,1,23,1,20.0,Kansas City,Buffalo,-3,2,200811230kan,73584.0,12.0,17.0
2527,Kansas City_Sunday 11/24/13,Kansas City,2013,Sunday 11/24/13,San Diego,38-41,Week 12,-3.5,0,-3,0,-6.5,Kansas City,San Diego,-2,-1,201311240kan,75259.0,12.0,1.0
2530,Kansas City_Sunday 11/25/12,Denver,2012,Sunday 11/25/12,@ Kansas City,17-9,Week 12,-10.0,0,8,1,-2.0,Kansas City,Denver,-1,-1,201211250kan,74244.0,12.0,7.0
2534,Kansas City_Sunday 12/01/13,Denver,2013,Sunday 12/01/13,@ Kansas City,35-28,Week 13,-5.0,1,7,1,2.0,Kansas City,Denver,-1,3,201312010kan,77065.0,13.0,1.0
2536,Kansas City_Sunday 12/02/12,Carolina,2012,Sunday 12/02/12,@ Kansas City,21-27,Week 13,-5.5,0,-6,0,-11.5,Kansas City,Carolina,1,-2,201212020kan,62860.0,13.0,29.0
2538,Kansas City_Sunday 12/05/10,Kansas City,2010,Sunday 12/05/10,Denver,10-6,Week 13,-9.0,0,4,1,-5.0,Kansas City,Denver,3,-1,201012050kan,67267.0,13.0,13.0
2539,Kansas City_Sunday 12/06/09,Denver,2009,Sunday 12/06/09,@ Kansas City,44-13,Week 13,-6.0,1,31,1,25.0,Kansas City,Denver,-3,5,200912060kan,68912.0,13.0,13.0
2541,Kansas City_Sunday 12/10/00,Kansas City,2000,Sunday 12/10/00,Carolina,15-14,Week 15,-2.5,0,1,1,-1.5,Kansas City,Carolina,-3,1,200012100kan,77481.0,15.0,
2543,Kansas City_Sunday 12/13/09,Buffalo,2009,Sunday 12/13/09,@ Kansas City,16-10,Week 14,-1.0,1,6,1,5.0,Kansas City,Buffalo,-1,-4,200912130kan,68668.0,14.0,24.0
2544,Kansas City_Sunday 12/14/03,Kansas City,2003,Sunday 12/14/03,Detroit,45-17,Week 15,-14.5,1,28,1,13.5,Kansas City,Detroit,-5,-2,200312140kan,77922.0,15.0,1.0
2545,Kansas City_Sunday 12/14/08,San Diego,2008,Sunday 12/14/08,@ Kansas City,22-21,Week 15,-6.0,0,1,1,-5.0,Kansas City,San Diego,-1,1,200812140kan,73842.0,15.0,23.0
2548,Kansas City_Sunday 12/17/00,Denver,2000,Sunday 12/17/00,@ Kansas City,7-20,Week 16,-3.0,0,-13,0,-16.0,Kansas City,Denver,1,-2,200012170kan,78406.0,16.0,
2549,Kansas City_Sunday 12/18/11,Green Bay,2011,Sunday 12/18/11,@ Kansas City,14-19,Week 15,-11.0,0,-5,0,-16.0,Kansas City,Green Bay,4,-1,201112180kan,74093.0,15.0,1.0
2551,Kansas City_Sunday 12/20/09,Kansas City,2009,Sunday 12/20/09,Cleveland,34-41,Week 15,-1.0,0,-7,0,-8.0,Kansas City,Cleveland,3,-4,200912200kan,53315.0,15.0,28.0
2552,Kansas City_Sunday 12/21/08,Miami,2008,Sunday 12/21/08,@ Kansas City,38-31,Week 16,-3.5,1,7,1,3.5,Kansas City,Miami,1,-1,200812210kan,73689.0,16.0,12.0
2554,Kansas City_Sunday 12/22/13,Kansas City,2013,Sunday 12/22/13,Indianapolis,7-23,Week 16,-7.5,0,-16,0,-23.5,Kansas City,Indianapolis,1,-1,201312220kan,75396.0,16.0,7.0
2556,Kansas City_Sunday 12/23/12,Indianapolis,2012,Sunday 12/23/12,@ Kansas City,20-13,Week 16,-4.5,1,7,1,2.5,Kansas City,Indianapolis,2,-1,201212230kan,62938.0,16.0,9.0
2557,Kansas City_Sunday 12/26/10,Kansas City,2010,Sunday 12/26/10,Tennessee,34-14,Week 16,-4.0,1,20,1,16.0,Kansas City,Tennessee,-3,1,201012260kan,65606.0,16.0,14.0
2558,Kansas City_Sunday 12/28/03,Kansas City,2003,Sunday 12/28/03,Chicago,31-3,Week 17,-7.5,1,28,1,20.5,Kansas City,Chicago,-2,-1,200312280kan,78413.0,17.0,3.0
2560,Kansas City_Sunday Night 10/26/03,Kansas City,2003,Sunday Night 10/26/03,Buffalo,38-5,Week 8,-6.0,1,33,1,27.0,Kansas City,Buffalo,1,-1,200310260kan,78689.0,8.0,1.0
2561,Kansas City_Sunday Night 11/27/11,Pittsburgh,2011,Sunday Night 11/27/11,@ Kansas City,13-9,Week 12,-10.5,0,4,1,-6.5,Kansas City,Pittsburgh,-3,1,201111270kan,72173.0,12.0,4.0
2562,Kansas City_Sunday Night 11/30/14,Kansas City,2014,Sunday Night 11/30/14,Denver,16-29,Week 13,-1.0,0,-13,0,-14.0,Kansas City,Denver,-1,-4,201411300kan,76894.0,13.0,5.0
2563,Kansas City_Sunday Night 12/12/99,Kansas City,1999,Sunday Night 12/12/99,Minnesota,31-28,Week 14,-1.5,1,3,1,1.5,Kansas City,Minnesota,-2,-2,199912120kan,78932.0,14.0,
2582,Miami_Friday 10/21/05,Kansas City,2005,Friday 10/21/05,@ Miami,30-20,Week 7,-1.0,1,10,1,9.0,Miami,Kansas City,1,1,200510210mia,68350.0,7.0,15.0
2587,Miami_Monday 09/12/11,New England,2011,Monday 09/12/11,@ Miami,38-24,Week 1,-7.0,1,14,1,7.0,Miami,New England,-1,3,201109120mia,66860.0,1.0,
2588,Miami_Monday 09/21/09,Indianapolis,2009,Monday 09/21/09,@ Miami,27-23,Week 2,-3.0,1,4,1,1.0,Miami,Indianapolis,-1,1,200909210mia,66227.0,2.0,6.0
2589,Miami_Monday 10/04/10,Miami,2010,Monday 10/04/10,New England,14-41,Week 4,-1.0,0,-27,0,-28.0,Miami,New England,-2,1,201010040mia,69090.0,4.0,7.0
2590,Miami_Monday 10/04/99,Miami,1999,Monday 10/04/99,Buffalo,18-23,Week 4,-6.0,0,-5,0,-11.0,Miami,Buffalo,-3,-8,199910040mia,74073.0,4.0,
2591,Miami_Monday 10/12/09,N.Y. Jets,2009,Monday 10/12/09,@ Miami,27-31,Week 5,-3.0,0,-4,0,-7.0,Miami,N.Y. Jets,-1,-4,200910120mia,69767.0,5.0,4.0
2594,Miami_Monday 12/15/03,Miami,2003,Monday 12/15/03,Philadelphia,27-34,Week 15,-3.0,0,-7,0,-10.0,Miami,Philadelphia,3,-1,200312150mia,73780.0,15.0,7.0
2596,Miami_Monday 12/25/06,Miami,2006,Monday 12/25/06,N.Y. Jets,10-13,Week 16,-1.0,0,-3,0,-4.0,Miami,N.Y. Jets,1,-4,200612250mia,73500.0,16.0,18.0
2597,Miami_Monday 12/27/99,Miami,1999,Monday 12/27/99,N.Y. Jets,31-38,Week 16,-3.5,0,-7,0,-10.5,Miami,N.Y. Jets,-1,-1,199912270mia,74230.0,16.0,
2615,Miami_Sunday 01/01/12,Miami,2011,Sunday 01/01/12,N.Y. Jets,19-17,Week 17,-1.5,1,2,1,0.5,Miami,N.Y. Jets,2,1,201201010mia,65811.0,17.0,23.0
2616,Miami_Sunday 01/03/10,Pittsburgh,2009,Sunday 01/03/10,@ Miami,30-24,Week 17,-3.0,1,6,1,3.0,Miami,Pittsburgh,2,-3,201001030mia,70102.0,17.0,15.0
2620,Miami_Sunday 09/03/00,Miami,2000,Sunday 09/03/00,Seattle,23-0,Week 1,-3.0,1,23,1,20.0,Miami,Seattle,-1,2,200009030mia,72949.0,1.0,
2621,Miami_Sunday 09/07/03,Miami,2003,Sunday 09/07/03,Houston,20-21,Week 1,-13.0,0,-1,0,-14.0,Miami,Houston,1,-3,200309070mia,73010.0,1.0,
2622,Miami_Sunday 09/07/08,N.Y. Jets,2008,Sunday 09/07/08,@ Miami,20-14,Week 1,-3.0,1,6,1,3.0,Miami,N.Y. Jets,2,-1,200809070mia,65859.0,1.0,
2623,Miami_Sunday 09/07/14,New England,2014,Sunday 09/07/14,@ Miami,20-33,Week 1,-3.5,0,-13,0,-16.5,Miami,New England,1,-2,201409070mia,70630.0,1.0,
2627,Miami_Sunday 09/16/12,Oakland,2012,Sunday 09/16/12,@ Miami,13-35,Week 2,-1.0,0,-22,0,-23.0,Miami,Oakland,-1,-1,201209160mia,54245.0,2.0,26.0
2629,Miami_Sunday 09/18/11,Houston,2011,Sunday 09/18/11,@ Miami,23-13,Week 2,-3.0,1,10,1,7.0,Miami,Houston,-2,-2,201109180mia,51032.0,2.0,11.0
2630,Miami_Sunday 09/19/99,Miami,1999,Sunday 09/19/99,Arizona,19-16,Week 2,-9.5,0,3,1,-6.5,Miami,Arizona,1,-5,199909190mia,73618.0,2.0,
2631,Miami_Sunday 09/21/14,Miami,2014,Sunday 09/21/14,Kansas City,15-34,Week 3,-5.5,0,-19,0,-24.5,Miami,Kansas City,3,-1,201409210mia,70313.0,3.0,15.0
2633,Miami_Sunday 09/22/13,Miami,2013,Sunday 09/22/13,Atlanta,27-23,Week 3,-3.0,1,4,1,1.0,Miami,Atlanta,1,1,201309220mia,70660.0,3.0,17.0
2634,Miami_Sunday 09/23/01,Miami,2001,Sunday 09/23/01,Oakland,18-15,Week 2,-1.0,1,3,1,2.0,Miami,Oakland,2,-2,200109230mia,73404.0,2.0,
2635,Miami_Sunday 09/23/12,N.Y. Jets,2012,Sunday 09/23/12,@ Miami,23-20,Week 3,-1.0,1,3,1,2.0,Miami,N.Y. Jets,3,-1,201209230mia,60102.0,3.0,16.0
2636,Miami_Sunday 09/24/00,Miami,2000,Sunday 09/24/00,New England,10-3,Week 4,-3.0,1,7,1,4.0,Miami,New England,-2,1,200009240mia,73344.0,4.0,
2638,Miami_Sunday 09/25/05,Carolina,2005,Sunday 09/25/05,@ Miami,24-27,Week 3,-3.0,0,-3,0,-6.0,Miami,Carolina,2,2,200509250mia,72288.0,3.0,14.0
2641,Miami_Sunday 10/04/09,Miami,2009,Sunday 10/04/09,Buffalo,38-10,Week 4,-1.0,1,28,1,27.0,Miami,Buffalo,-3,-4,200910040mia,65523.0,4.0,19.0
2642,Miami_Sunday 10/05/08,San Diego,2008,Sunday 10/05/08,@ Miami,10-17,Week 5,-6.5,0,-7,0,-13.5,Miami,San Diego,-1,2,200810050mia,65063.0,5.0,9.0
2643,Miami_Sunday 10/06/02,Miami,2002,Sunday 10/06/02,New England,26-13,Week 5,-3.0,1,13,1,10.0,Miami,New England,3,6,200210060mia,73369.0,5.0,2.0
2644,Miami_Sunday 10/06/13,Miami,2013,Sunday 10/06/13,Baltimore,23-26,Week 5,-2.5,0,-3,0,-5.5,Miami,Baltimore,4,-3,201310060mia,68342.0,5.0,7.0
2646,Miami_Sunday 10/08/00,Miami,2000,Sunday 10/08/00,Buffalo,22-13,Week 6,-1.0,1,9,1,8.0,Miami,Buffalo,1,-3,200010080mia,73901.0,6.0,
2647,Miami_Sunday 10/12/14,Green Bay,2014,Sunday 10/12/14,@ Miami,27-24,Week 6,-1.5,1,3,1,1.5,Miami,Green Bay,1,-1,201410120mia,70875.0,6.0,12.0
2648,Miami_Sunday 10/14/12,Miami,2012,Sunday 10/14/12,St. Louis,17-14,Week 6,-5.5,0,3,1,-2.5,Miami,St. Louis,-4,-1,201210140mia,52983.0,6.0,26.0
2649,Miami_Sunday 10/19/03,Miami,2003,Sunday 10/19/03,New England,13-19,Week 7,-6.5,0,-6,0,-12.5,Miami,New England,2,1,200310190mia,73650.0,7.0,4.0
2650,Miami_Sunday 10/19/08,Miami,2008,Sunday 10/19/08,Baltimore,13-27,Week 7,-3.0,0,-14,0,-17.0,Miami,Baltimore,-1,-3,200810190mia,64972.0,7.0,23.0
2651,Miami_Sunday 10/20/02,Miami,2002,Sunday 10/20/02,Buffalo,10-23,Week 7,-5.5,0,-13,0,-18.5,Miami,Buffalo,1,4,200210200mia,73180.0,7.0,2.0
2652,Miami_Sunday 10/20/13,Miami,2013,Sunday 10/20/13,Buffalo,21-23,Week 7,-6.0,0,-2,0,-8.0,Miami,Buffalo,-1,5,201310200mia,60592.0,7.0,13.0
2655,Miami_Sunday 10/23/11,Denver,2011,Sunday 10/23/11,@ Miami,18-15,Week 7,-1.0,1,3,1,2.0,Miami,Denver,-1,-4,201110230mia,63800.0,7.0,27.0
2656,Miami_Sunday 10/24/04,St. Louis,2004,Sunday 10/24/04,@ Miami,14-31,Week 7,-5.0,0,-17,0,-22.0,Miami,St. Louis,-1,-5,200410240mia,72945.0,7.0,10.0
2657,Miami_Sunday 10/24/10,Pittsburgh,2010,Sunday 10/24/10,@ Miami,23-22,Week 7,-3.0,0,1,1,-2.0,Miami,Pittsburgh,2,1,201010240mia,69867.0,7.0,1.0
2658,Miami_Sunday 10/24/99,Miami,1999,Sunday 10/24/99,Philadelphia,16-13,Week 7,-9.0,0,3,1,-6.0,Miami,Philadelphia,-1,-1,199910240mia,73975.0,7.0,
2659,Miami_Sunday 10/25/09,New Orleans,2009,Sunday 10/25/09,@ Miami,46-34,Week 7,-6.0,1,12,1,6.0,Miami,New Orleans,-2,1,200910250mia,66689.0,7.0,9.0
2660,Miami_Sunday 10/26/08,Miami,2008,Sunday 10/26/08,Buffalo,25-16,Week 8,-1.0,1,9,1,8.0,Miami,Buffalo,-1,1,200810260mia,65011.0,8.0,24.0
2662,Miami_Sunday 10/29/00,Miami,2000,Sunday 10/29/00,Green Bay,28-20,Week 9,-3.5,1,8,1,4.5,Miami,Green Bay,1,5,200010290mia,73740.0,9.0,
2663,Miami_Sunday 11/02/03,Miami,2003,Sunday 11/02/03,Indianapolis,17-23,Week 9,-3.0,0,-6,0,-9.0,Miami,Indianapolis,3,2,200311020mia,73258.0,9.0,10.0
2664,Miami_Sunday 11/02/14,Miami,2014,Sunday 11/02/14,San Diego,37-0,Week 9,-3.0,1,37,1,34.0,Miami,San Diego,1,-1,201411020mia,70222.0,9.0,18.0
2666,Miami_Sunday 11/06/05,Atlanta,2005,Sunday 11/06/05,@ Miami,17-10,Week 9,-2.0,1,7,1,5.0,Miami,Atlanta,-2,2,200511060mia,72187.0,9.0,3.0
2668,Miami_Sunday 11/09/08,Miami,2008,Sunday 11/09/08,Seattle,21-19,Week 10,-9.0,0,2,1,-7.0,Miami,Seattle,-4,-1,200811090mia,64862.0,10.0,24.0
2670,Miami_Sunday 11/11/12,Miami,2012,Sunday 11/11/12,Tennessee,3-37,Week 10,-6.5,0,-34,0,-40.5,Miami,Tennessee,-1,-2,201211110mia,60165.0,10.0,12.0
2671,Miami_Sunday 11/12/06,Miami,2006,Sunday 11/12/06,Kansas City,13-10,Week 10,-1.0,1,3,1,2.0,Miami,Kansas City,1,-4,200611120mia,73132.0,10.0,31.0
2673,Miami_Sunday 11/13/11,Miami,2011,Sunday 11/13/11,Washington,20-9,Week 10,-4.0,1,11,1,7.0,Miami,Washington,-1,-4,201111130mia,57007.0,10.0,31.0
2674,Miami_Sunday 11/14/10,Miami,2010,Sunday 11/14/10,Tennessee,29-17,Week 10,-1.0,1,12,1,11.0,Miami,Tennessee,1,-1,201011140mia,65585.0,10.0,15.0
2675,Miami_Sunday 11/15/09,Miami,2009,Sunday 11/15/09,Tampa Bay,25-23,Week 10,-10.0,0,2,1,-8.0,Miami,Tampa Bay,-1,2,200911150mia,66085.0,10.0,20.0
2676,Miami_Sunday 11/16/03,Miami,2003,Sunday 11/16/03,Baltimore,9-6,Week 11,-4.5,0,3,1,-1.5,Miami,Baltimore,1,-1,200311160mia,73333.0,11.0,11.0
2677,Miami_Sunday 11/16/08,Miami,2008,Sunday 11/16/08,Oakland,17-15,Week 11,-10.0,0,2,1,-8.0,Miami,Oakland,2,1,200811160mia,65113.0,11.0,17.0
2679,Miami_Sunday 11/17/13,San Diego,2013,Sunday 11/17/13,@ Miami,16-20,Week 11,-2.5,0,-4,0,-6.5,Miami,San Diego,2,4,201311170mia,60256.0,11.0,15.0
2681,Miami_Sunday 11/19/00,Miami,2000,Sunday 11/19/00,N.Y. Jets,3-20,Week 12,-3.5,0,-17,0,-20.5,Miami,N.Y. Jets,-2,3,200011190mia,74320.0,12.0,
2683,Miami_Sunday 11/20/11,Miami,2011,Sunday 11/20/11,Buffalo,35-8,Week 11,-3.0,1,27,1,24.0,Miami,Buffalo,-1,-1,201111200mia,57531.0,11.0,31.0
2684,Miami_Sunday 11/21/99,Miami,1999,Sunday 11/21/99,New England,27-17,Week 11,-4.5,1,10,1,5.5,Miami,New England,-1,6,199911210mia,74295.0,11.0,
2685,Miami_Sunday 11/23/08,New England,2008,Sunday 11/23/08,@ Miami,48-28,Week 12,-1.0,1,20,1,19.0,Miami,New England,2,1,200811230mia,67146.0,12.0,2.0
2687,Miami_Sunday 11/24/13,Carolina,2013,Sunday 11/24/13,@ Miami,20-16,Week 12,-4.5,0,4,1,-0.5,Miami,Carolina,-3,1,201311240mia,60156.0,12.0,6.0
2688,Miami_Sunday 11/25/12,Seattle,2012,Sunday 11/25/12,@ Miami,21-24,Week 12,-3.0,0,-3,0,-6.0,Miami,Seattle,1,1,201211250mia,51295.0,12.0,12.0
2689,Miami_Sunday 12/02/01,Miami,2001,Sunday 12/02/01,Denver,21-10,Week 12,-3.0,1,11,1,8.0,Miami,Denver,1,1,200112020mia,73938.0,12.0,
2691,Miami_Sunday 12/02/12,New England,2012,Sunday 12/02/12,@ Miami,23-16,Week 13,-8.0,0,7,1,-1.0,Miami,New England,2,-1,201212020mia,72114.0,13.0,9.0
2694,Miami_Sunday 12/04/11,Miami,2011,Sunday 12/04/11,Oakland,34-14,Week 13,-3.5,1,20,1,16.5,Miami,Oakland,1,-3,201112040mia,57225.0,13.0,25.0
2696,Miami_Sunday 12/05/10,Miami,2010,Sunday 12/05/10,Cleveland,10-13,Week 13,-5.5,0,-3,0,-8.5,Miami,Cleveland,-1,-3,201012050mia,65942.0,13.0,19.0
2697,Miami_Sunday 12/05/99,Miami,1999,Sunday 12/05/99,Indianapolis,34-37,Week 13,-2.0,0,-3,0,-5.0,Miami,Indianapolis,-2,-1,199912050mia,74096.0,13.0,
2698,Miami_Sunday 12/06/09,New England,2009,Sunday 12/06/09,@ Miami,21-22,Week 13,-4.5,0,-1,0,-5.5,Miami,New England,7,-3,200912060mia,70102.0,13.0,11.0
2699,Miami_Sunday 12/07/14,Miami,2014,Sunday 12/07/14,Baltimore,13-28,Week 14,-3.0,0,-15,0,-18.0,Miami,Baltimore,1,2,201412070mia,70244.0,14.0,17.0
2700,Miami_Sunday 12/10/00,Miami,2000,Sunday 12/10/00,Tampa Bay,13-16,Week 15,-3.0,0,-3,0,-6.0,Miami,Tampa Bay,-2,-2,200012100mia,74307.0,15.0,
2702,Miami_Sunday 12/11/11,Miami,2011,Sunday 12/11/11,Philadelphia,10-26,Week 14,-3.0,0,-16,0,-19.0,Miami,Philadelphia,2,-1,201112110mia,67823.0,14.0,26.0
2703,Miami_Sunday 12/14/08,Miami,2008,Sunday 12/14/08,San Francisco,14-9,Week 15,-5.5,0,5,1,-0.5,Miami,San Francisco,1,-1,200812140mia,65893.0,15.0,16.0
2704,Miami_Sunday 12/15/02,Miami,2002,Sunday 12/15/02,Oakland,23-17,Week 15,-1.0,1,6,1,5.0,Miami,Oakland,2,-1,200212150mia,73572.0,15.0,10.0
2705,Miami_Sunday 12/15/13,Miami,2013,Sunday 12/15/13,New England,24-20,Week 15,-2.5,1,4,1,1.5,Miami,New England,3,3,201312150mia,71863.0,15.0,17.0
2707,Miami_Sunday 12/16/12,Miami,2012,Sunday 12/16/12,Jacksonville,24-3,Week 15,-7.5,1,21,1,13.5,Miami,Jacksonville,1,2,201212160mia,53667.0,15.0,20.0
2708,Miami_Sunday 12/17/00,Miami,2000,Sunday 12/17/00,Indianapolis,13-20,Week 16,-3.0,0,-7,0,-10.0,Miami,Indianapolis,2,-1,200012170mia,73884.0,16.0,
2710,Miami_Sunday 12/19/10,Miami,2010,Sunday 12/19/10,Buffalo,14-17,Week 15,-5.5,0,-3,0,-8.5,Miami,Buffalo,2,1,201012190mia,65511.0,15.0,18.0
2711,Miami_Sunday 12/19/99,Miami,1999,Sunday 12/19/99,San Diego,12-9,Week 15,-7.0,0,3,1,-4.0,Miami,San Diego,-1,4,199912190mia,73765.0,15.0,
2712,Miami_Sunday 12/23/12,Miami,2012,Sunday 12/23/12,Buffalo,24-10,Week 16,-5.0,1,14,1,9.0,Miami,Buffalo,-2,-2,201212230mia,54462.0,16.0,21.0
2713,Miami_Sunday 12/26/10,Miami,2010,Sunday 12/26/10,Detroit,27-34,Week 16,-3.5,0,-7,0,-10.5,Miami,Detroit,2,1,201012260mia,66731.0,16.0,16.0
2714,Miami_Sunday 12/27/09,Miami,2009,Sunday 12/27/09,Houston,20-27,Week 16,-1.0,0,-7,0,-8.0,Miami,Houston,-1,-1,200912270mia,65847.0,16.0,13.0
2715,Miami_Sunday 12/28/03,Miami,2003,Sunday 12/28/03,N.Y. Jets,23-21,Week 17,-4.0,0,2,1,-2.0,Miami,N.Y. Jets,-2,1,200312280mia,73720.0,17.0,14.0
2716,Miami_Sunday 12/29/13,Miami,2013,Sunday 12/29/13,N.Y. Jets,7-20,Week 17,-7.5,0,-13,0,-20.5,Miami,N.Y. Jets,-1,1,201312290mia,70296.0,17.0,14.0
2719,Miami_Sunday Night 09/17/00,Baltimore,2000,Sunday Night 09/17/00,@ Miami,6-19,Week 3,-3.0,0,-13,0,-16.0,Miami,Baltimore,-2,1,200009170mia,73464.0,3.0,
2720,Miami_Sunday Night 09/21/03,Miami,2003,Sunday Night 09/21/03,Buffalo,17-7,Week 3,-3.0,1,10,1,7.0,Miami,Buffalo,-1,4,200309210mia,73458.0,3.0,18.0
2722,Miami_Sunday Night 09/26/10,Miami,2010,Sunday Night 09/26/10,N.Y. Jets,23-31,Week 3,-1.0,0,-8,0,-9.0,Miami,N.Y. Jets,-1,-1,201009260mia,70481.0,3.0,15.0
2723,Miami_Sunday Night 11/07/99,Miami,1999,Sunday Night 11/07/99,Tennessee,17-0,Week 9,-3.0,1,17,1,14.0,Miami,Tennessee,2,-2,199911070mia,74109.0,9.0,
2724,Miami_Sunday Night 11/23/03,Miami,2003,Sunday Night 11/23/03,Washington,24-23,Week 12,-7.0,0,1,1,-6.0,Miami,Washington,-1,-1,200311230mia,73578.0,12.0,13.0
2734,Miami_Thursday 10/31/13,Cincinnati,2013,Thursday 10/31/13,@ Miami,20-22,Week 9,-3.0,0,-2,0,-5.0,Miami,Cincinnati,2,-1,201310310mia,52388.0,9.0,7.0
2735,Miami_Thursday 11/13/14,Miami,2014,Thursday 11/13/14,Buffalo,22-9,Week 11,-4.0,1,13,1,9.0,Miami,Buffalo,1,1,201411130mia,71573.0,11.0,13.0
2736,Miami_Thursday 11/18/10,Miami,2010,Thursday 11/18/10,Chicago,0-16,Week 11,-2.5,0,-16,0,-18.5,Miami,Chicago,-1,-1,201011180mia,68752.0,11.0,17.0
2755,Minnesota_Monday 10/05/09,Minnesota,2009,Monday 10/05/09,Green Bay,30-23,Week 4,-4.5,1,7,1,2.5,Minnesota,Green Bay,-1,-2,200910050min,63846.0,4.0,5.0
2756,Minnesota_Monday 10/09/00,Minnesota,2000,Monday 10/09/00,Tampa Bay,30-23,Week 6,-2.0,1,7,1,5.0,Minnesota,Tampa Bay,2,-1,200010090min,64162.0,6.0,
2758,Minnesota_Monday 11/08/99,Minnesota,1999,Monday 11/08/99,Dallas,27-17,Week 9,-7.0,1,10,1,3.0,Minnesota,Dallas,-5,-4,199911080min,64111.0,9.0,
2760,Minnesota_Monday 12/13/10,N.Y. Giants,2010,Monday 12/13/10,@ Minnesota,21-3,Week 14,-4.5,1,18,1,13.5,Minnesota,N.Y. Giants,-7,-1,201012130min,45910.0,14.0,2.0
2762,Minnesota_Monday 12/20/10,Chicago,2010,Monday 12/20/10,@ Minnesota,40-14,Week 15,-5.5,1,26,1,20.5,Minnesota,Chicago,-1,1,201012200min,40504.0,15.0,8.0
2763,Minnesota_Monday 12/20/99,Minnesota,1999,Monday 12/20/99,Green Bay,24-20,Week 15,-5.5,0,4,1,-1.5,Minnesota,Green Bay,-1,-1,199912200min,64203.0,15.0,
2773,Minnesota_Saturday 12/20/03,Kansas City,2003,Saturday 12/20/03,@ Minnesota,20-45,Week 16,-3.0,0,-25,0,-28.0,Minnesota,Kansas City,1,1,200312200min,64291.0,16.0,2.0
2774,Minnesota_Saturday 12/21/02,Miami,2002,Saturday 12/21/02,@ Minnesota,17-20,Week 16,-3.0,0,-3,0,-6.0,Minnesota,Miami,-1,2,200212210min,64285.0,16.0,5.0
2776,Minnesota_Sunday 01/01/12,Minnesota,2011,Sunday 01/01/12,Chicago,13-17,Week 17,-1.5,0,-4,0,-5.5,Minnesota,Chicago,5,-4,201201010min,62867.0,17.0,30.0
2777,Minnesota_Sunday 01/02/00,Minnesota,1999,Sunday 01/02/00,Detroit,24-17,Week 17,-7.0,0,7,1,0.0,Minnesota,Detroit,-1,-3,200001020min,64103.0,17.0,
2778,Minnesota_Sunday 01/03/10,Minnesota,2009,Sunday 01/03/10,N.Y. Giants,44-7,Week 17,-9.0,1,37,1,28.0,Minnesota,N.Y. Giants,-2,1,201001030min,63854.0,17.0,4.0
2782,Minnesota_Sunday 09/03/00,Minnesota,2000,Sunday 09/03/00,Chicago,30-27,Week 1,-4.5,0,3,1,-1.5,Minnesota,Chicago,-3,-1,200009030min,64104.0,1.0,
2785,Minnesota_Sunday 09/09/12,Minnesota,2012,Sunday 09/09/12,Jacksonville,26-23,Week 1,-3.5,0,3,1,-0.5,Minnesota,Jacksonville,1,-1,201209090min,56607.0,1.0,
